TEST_SET, DATASET, REGRESSOR, VALIDATION_MSE, TEST_MSE, PREDICTED_F1, GLOBAL_BEST_F1, PERFORMANCE, OPTIMIZATION_TIME, BEST_REGRESSOR_FIT_TIME, BEST_REGRESSOR_PREDICTION_TIME
D1, all, NN, 3.5546, 559.8974, 14.5455, 77.0833, 0.1887, 5831.1358, 173.8231, 0.1299
D2, all, NN, 4.2257, 587.7918, 77.6235, 85.8486, 0.9042, 4921.6546, 156.5384, 0.1328
D3, all, NN, 2.9716, 877.6594, 52.3403, 59.0871, 0.8858, 5416.2184, 113.255, 0.1339
D4, all, NN, 2.1439, 2457.9427, 98.3769, 98.5122, 0.9986, 5010.3508, 108.6056, 0.1338
D5, all, NN, 2.8746, 483.8856, 67.5626, 78.2517, 0.8634, 5957.7343, 168.6554, 0.1326
D6, all, NN, 2.992, 956.6033, 38.9905, 60.2534, 0.6471, 6118.4568, 167.2805, 0.1346
D7, all, NN, 3.471, 392.5667, 62.2824, 67.7308, 0.9196, 5938.5255, 170.0799, 0.1326
D8, all, NN, 3.8445, 2506.5493, 40.1214, 48.5417, 0.8265, 4775.6928, 102.413, 0.1321
D9, all, NN, 2.9069, 4081.7026, 92.3308, 94.9211, 0.9727, 4871.7982, 163.2741, 0.1311
D10, all, NN, 3.2138, 796.1835, 0.8535, 56.117, 0.0152, 6170.832, 168.9231, 0.131
