TEST_SET, DATASET, REGRESSOR, VALIDATION_MSE, TEST_MSE, PREDICTED_F1, GLOBAL_BEST_F1, PERFORMANCE, OPTIMIZATION_TIME, BEST_REGRESSOR_FIT_TIME, BEST_REGRESSOR_PREDICTION_TIME
D1, all, XGBRegressor, 0.264, 442.2653, 55.0162, 77.0833, 0.7137, 232.613, 9.1742, 0.0537
D2, all, XGBRegressor, 0.5122, 237.6102, 79.6794, 85.8486, 0.9281, 139.6991, 1.1852, 0.0134
D3, all, XGBRegressor, 0.2457, 2026.0817, 57.7169, 59.0871, 0.9768, 226.4318, 8.8827, 0.0465
D4, all, XGBRegressor, 0.4715, 2220.4551, 96.4509, 98.5122, 0.9791, 139.8374, 1.2593, 0.0135
D5, all, XGBRegressor, 0.4126, 394.0092, 65.3543, 78.2517, 0.8352, 191.1683, 4.8464, 0.0293
D6, all, XGBRegressor, 0.4642, 384.7415, 35.4722, 60.2534, 0.5887, 137.8122, 1.3092, 0.0144
D7, all, XGBRegressor, 0.3746, 365.5678, 57.5722, 67.7308, 0.85, 161.0117, 4.0472, 0.0263
D8, all, XGBRegressor, 0.4797, 1544.2115, 40.2027, 48.5417, 0.8282, 149.0204, 2.1606, 0.0176
D9, all, XGBRegressor, 0.538, 2960.7003, 94.3887, 94.9211, 0.9944, 142.1424, 1.3884, 0.0151
D10, all, XGBRegressor, 0.4555, 518.0612, 0.8015, 56.117, 0.0143, 161.3775, 4.1153, 0.0263
