TEST_SET, DATASET, REGRESSOR, VALIDATION_MSE, TEST_MSE, PREDICTED_F1, GLOBAL_BEST_F1, PERFORMANCE, OPTIMIZATION_TIME, BEST_REGRESSOR_FIT_TIME, BEST_REGRESSOR_PREDICTION_TIME
D1, gridsearch, Lasso, 240.6968, 830.8896, 54.6584, 77.0833, 0.7091, 61.3697, 1.1848, 0.0073
D2, gridsearch, Lasso, 228.7682, 2130.3305, 38.4331, 85.8486, 0.4477, 57.9449, 1.2243, 0.0068
D3, gridsearch, Lasso, 246.0774, 76892.0823, 28.3718, 59.0871, 0.4802, 59.1641, 1.2945, 0.007
D4, gridsearch, Lasso, 218.4902, 3244.6214, 98.1753, 98.5122, 0.9966, 54.245, 1.1449, 0.007
D5, gridsearch, Lasso, 251.5406, 478.0397, 68.2114, 78.2517, 0.8717, 55.6573, 1.1286, 0.0063
D6, gridsearch, Lasso, 254.4143, 793.1573, 43.8459, 60.2534, 0.7277, 52.8646, 1.1447, 0.0063
D7, gridsearch, Lasso, 244.8817, 414.9576, 48.4848, 67.7308, 0.7158, 53.5722, 1.1803, 0.0063
D8, gridsearch, Lasso, 291.5074, 5630.3329, 40.1214, 48.5417, 0.8265, 53.6596, 1.1725, 0.0069
D9, gridsearch, Lasso, 258.8318, 24356.7047, 87.4555, 94.9211, 0.9213, 53.3881, 1.0708, 0.0063
D10, gridsearch, Lasso, 230.9819, 477347043.1937, 0.8535, 56.117, 0.0152, 57.2487, 1.1705, 0.0062
