TEST_SET, DATASET, REGRESSOR, VALIDATION_MSE, TEST_MSE, PREDICTED_F1, GLOBAL_BEST_F1, PERFORMANCE, OPTIMIZATION_TIME, BEST_REGRESSOR_FIT_TIME, BEST_REGRESSOR_PREDICTION_TIME
D1, gridsearch, RandomForestRegressor, 12.952, 194.6665, 55.6962, 77.0833, 0.7225, 1532.7271, 29.2024, 0.1566
D2, gridsearch, RandomForestRegressor, 13.1517, 239.8747, 79.6418, 85.8486, 0.9277, 1498.5673, 28.9697, 0.186
D3, gridsearch, RandomForestRegressor, 41.066, 472.8227, 57.7723, 59.0871, 0.9777, 1412.8345, 25.386, 0.1678
D4, gridsearch, RandomForestRegressor, 17.2815, 1765.221, 98.2511, 98.5122, 0.9973, 1646.4388, 51.9408, 0.2738
D5, gridsearch, RandomForestRegressor, 9.5737, 385.7217, 76.6224, 78.2517, 0.9792, 1533.8336, 36.7174, 0.2619
D6, gridsearch, RandomForestRegressor, 15.0667, 288.1993, 45.3333, 60.2534, 0.7524, 1601.7845, 55.8594, 0.2901
D7, gridsearch, RandomForestRegressor, 10.5038, 563.9907, 65.034, 67.7308, 0.9602, 1447.3663, 18.5078, 0.1252
D8, gridsearch, RandomForestRegressor, 10.673, 845.9063, 40.1214, 48.5417, 0.8265, 1610.1975, 35.9281, 0.2149
D9, gridsearch, RandomForestRegressor, 19.8755, 2556.7232, 94.5097, 94.9211, 0.9957, 2578.0389, 104.1369, 0.5559
D10, gridsearch, RandomForestRegressor, 10.0923, 379.5772, 36.3098, 56.117, 0.647, 1517.1939, 26.4853, 0.1868
