TEST_SET, DATASET, REGRESSOR, VALIDATION_MSE, TEST_MSE, PREDICTED_F1, GLOBAL_BEST_F1, PERFORMANCE, OPTIMIZATION_TIME, BEST_REGRESSOR_FIT_TIME, BEST_REGRESSOR_PREDICTION_TIME
D1, gridsearch, SVR, 34.6183, 262.6049, 54.4892, 77.0833, 0.7069, 34250.804, 726.6726, 19.0396
D2, gridsearch, SVR, 23.9263, 1910.5441, 5.771, 85.8486, 0.0672, 48446.7068, 7609.1372, 16.9571
D3, gridsearch, SVR, 58.9291, 7746886.949, 0.181, 59.0871, 0.0031, 56928.908, 4709.0551, 13.5003
D4, gridsearch, SVR, 31.0615, 1725.4227, 97.4463, 98.5122, 0.9892, 77333.1637, 8728.3125, 26.5151
D5, gridsearch, SVR, 21.9628, 3075.0118, 3.0015, 78.2517, 0.0384, 60070.596, 8833.1171, 18.077
D6, gridsearch, SVR, 23.5634, 532.745, 15.2813, 60.2534, 0.2536, 60991.3553, 10403.1823, 17.9511
D7, gridsearch, SVR, 23.5685, 621.4564, 46.2798, 67.7308, 0.6833, 62727.4763, 10157.1768, 18.0128
D8, gridsearch, SVR, 33.7086, 1137.1593, 26.4244, 48.5417, 0.5444, 56000.0743, 7934.0869, 18.4751
D9, gridsearch, SVR, 33.1741, 19048.7646, 83.3292, 94.9211, 0.8779, 57794.536, 10861.7635, 18.5087
D10, gridsearch, SVR, 19.7905, 2.995218304121475e+24, 0.0087, 56.117, 0.0002, 51757.5663, 2529.2588, 12.4687
