TEST_SET, DATASET, REGRESSOR, VALIDATION_MSE, TEST_MSE, PREDICTED_F1, GLOBAL_BEST_F1, PERFORMANCE, OPTIMIZATION_TIME, BEST_REGRESSOR_FIT_TIME, BEST_REGRESSOR_PREDICTION_TIME
D1, optuna, SVR, 42.2579, 392.4215, 54.4892, 77.0833, 0.7069, 9258.9941, 143.1918, 4.6209
D2, optuna, SVR, 37.8279, 2385.6339, 39.0382, 85.8486, 0.4547, 10799.8645, 148.9714, 4.9728
D3, optuna, SVR, 38.3699, 1376.5946, 37.7903, 59.0871, 0.6396, 12532.886, 139.5509, 4.6899
D4, optuna, SVR, 34.1205, 1842.2641, 98.1761, 98.5122, 0.9966, 38140.6728, 6474.4585, 3.834
D5, optuna, SVR, 32.75, 1116.7729, 19.8836, 78.2517, 0.2541, 10558.4318, 161.0132, 4.5302
D6, optuna, SVR, 38.5178, 1044.3541, 3.9927, 60.2534, 0.0663, 11592.2773, 155.9954, 4.5911
D7, optuna, SVR, 38.0591, 789.7702, 48.1928, 67.7308, 0.7115, 12346.0896, 164.1332, 4.672
D8, optuna, SVR, 49.0817, 2716.2646, 40.7395, 48.5417, 0.8393, 9768.6326, 171.7127, 4.9059
D9, optuna, SVR, 46.8959, 8449.6962, 63.0742, 94.9211, 0.6645, 12622.1513, 142.396, 5.2876
D10, optuna, SVR, 24.0596, 1.4899779258795053e+24, 0.0087, 56.117, 0.0002, 22393.6564, 2543.9683, 5.3919
