TEST_SET, DATASET, REGRESSOR, VALIDATION_MSE, TEST_MSE, PREDICTED_F1, GLOBAL_BEST_F1, PERFORMANCE, OPTIMIZATION_TIME, BEST_REGRESSOR_FIT_TIME, BEST_REGRESSOR_PREDICTION_TIME
D1, optuna, XGBRegressor, 0.3688, 615.8391, 55.5205, 77.0833, 0.7203, 139.7412, 4.0411, 0.0197
D2, optuna, XGBRegressor, 0.6326, 173.2495, 80.3303, 85.8486, 0.9357, 110.9168, 4.1952, 0.0214
D3, optuna, XGBRegressor, 0.3958, 2206.6998, 57.9141, 59.0871, 0.9801, 103.6932, 2.0518, 0.0149
D4, optuna, XGBRegressor, 0.383, 2133.3741, 96.8646, 98.5122, 0.9833, 101.6348, 1.8985, 0.0143
D5, optuna, XGBRegressor, 0.3763, 396.802, 71.8943, 78.2517, 0.9188, 122.1077, 3.4994, 0.0172
D6, optuna, XGBRegressor, 0.4297, 366.3228, 32.7169, 60.2534, 0.543, 129.0269, 3.474, 0.0184
D7, optuna, XGBRegressor, 0.3571, 411.0521, 60.2164, 67.7308, 0.8891, 128.7309, 2.4298, 0.0142
D8, optuna, XGBRegressor, 0.49, 480.919, 40.4762, 48.5417, 0.8338, 123.7042, 2.9545, 0.0175
D9, optuna, XGBRegressor, 0.4247, 2834.6554, 94.3686, 94.9211, 0.9942, 111.7807, 1.7728, 0.0131
D10, optuna, XGBRegressor, 0.4552, 732.7307, 13.8077, 56.117, 0.2461, 116.9822, 2.9554, 0.0177
