,TEST_SET,DATASET,EXPERIMENT,PREDICTED_F1_WITH_DATA_FEATURES,PREDICTED_F1_WITHOUT_DATA_FEATURES
0,D1,all,AutoML,55.6962,57.1429
1,D10,all,AutoML,28.6228,55.3979
2,D2,all,AutoML,67.8046,78.4878
3,D3,all,AutoML,55.9823,57.4176
4,D4,all,AutoML,97.4463,98.1761
5,D5,all,AutoML,67.8921,68.9032
6,D6,all,AutoML,40.6015,46.6491
7,D7,all,AutoML,57.5722,57.3192
8,D8,all,AutoML,40.4487,42.342
9,D9,all,AutoML,94.3686,91.6553
10,D1,optuna,AutoML,55.3459,57.1429
11,D10,optuna,AutoML,55.0078,55.3979
12,D2,optuna,AutoML,81.9401,78.5676
13,D3,optuna,AutoML,56.0706,55.9823
14,D4,optuna,AutoML,98.3769,98.1761
15,D5,optuna,AutoML,69.6589,73.7428
16,D6,optuna,AutoML,55.9806,51.1573
17,D7,optuna,AutoML,48.8679,65.3846
18,D8,optuna,AutoML,38.0861,40.7814
19,D9,optuna,AutoML,94.3686,94.3887
20,D1,gridsearch,AutoML,55.873,55.873
21,D10,gridsearch,AutoML,28.7518,41.7267
22,D2,gridsearch,AutoML,68.8019,78.1955
23,D3,gridsearch,AutoML,40.7589,56.7164
24,D4,gridsearch,AutoML,97.4684,98.1761
25,D5,gridsearch,AutoML,78.5464,73.071
26,D6,gridsearch,AutoML,45.5549,50.3109
27,D7,gridsearch,AutoML,62.3109,52.4142
28,D8,gridsearch,AutoML,34.6102,40.0942
29,D9,gridsearch,AutoML,94.3686,94.2827
