,TEST_SET,DATASET,EXPERIMENT,PREDICTED_F1_WITH_DATA_FEATURES,PREDICTED_F1_WITHOUT_DATA_FEATURES
0,D1,all,AutoML,54.8287,57.1429
1,D10,all,AutoML,17.2346,55.3979
2,D2,all,AutoML,81.5544,78.4878
3,D3,all,AutoML,56.9019,57.4176
4,D4,all,AutoML,98.451,98.1761
5,D5,all,AutoML,26.7417,68.9032
6,D6,all,AutoML,32.7573,41.0
7,D7,all,AutoML,62.1735,65.4746
8,D8,all,AutoML,40.2703,42.342
9,D9,all,AutoML,94.3887,91.6553
10,D1,optuna,AutoML,55.3459,57.1429
11,D10,optuna,AutoML,36.3098,55.3979
12,D2,optuna,AutoML,81.9401,78.6325
13,D3,optuna,AutoML,57.7941,57.4176
14,D4,optuna,AutoML,98.3769,98.1761
15,D5,optuna,AutoML,71.9689,62.8471
16,D6,optuna,AutoML,55.9806,51.1573
17,D7,optuna,AutoML,50.141,65.3846
18,D8,optuna,AutoML,40.7674,47.0485
19,D9,optuna,AutoML,94.3686,94.3887
20,D1,gridsearch,AutoML,19.2982,55.873
21,D10,gridsearch,AutoML,29.8483,41.7267
22,D2,gridsearch,AutoML,68.8019,78.1955
23,D3,gridsearch,AutoML,40.7589,56.1757
24,D4,gridsearch,AutoML,97.6881,98.1761
25,D5,gridsearch,AutoML,71.2832,72.8713
26,D6,gridsearch,AutoML,45.5549,49.5256
27,D7,gridsearch,AutoML,57.5722,52.7853
28,D8,gridsearch,AutoML,34.6102,38.8343
29,D9,gridsearch,AutoML,94.3686,94.2827
