TEST_SET,DATASET,REGRESSOR,OPTIMIZATION_TIME,BEST_REGRESSOR_PREDICTION_TIME
D1,all,0.54*gradient_boosting + 0.36*random_forest + 0.1*gradient_boosting,43218.6062,61.9368
D1,all,0.88*random_forest + 0.08*gradient_boosting + 0.04*gradient_boosting,43440.672,13.4146
D1,gridsearch,0.52*random_forest + 0.22*decision_tree + 0.16*adaboost + 0.1*ard_regression,43228.7849,7.0127
D1,gridsearch,0.62*gradient_boosting + 0.38*random_forest,43279.9262,47.1224
D1,optuna,0.38*extra_trees + 0.36*random_forest + 0.14*gradient_boosting + 0.1*k_nearest_neighbors + 0.02*gradient_boosting,43238.956,239.6281
D1,optuna,0.74*extra_trees + 0.18*random_forest + 0.04*k_nearest_neighbors + 0.02*gradient_boosting + 0.02*adaboost,43201.3939,55.9394
D10,all,0.6*gradient_boosting + 0.36*random_forest + 0.04*gradient_boosting,43200.3256,50.2222
D10,all,0.88*random_forest + 0.06*gradient_boosting + 0.04*gradient_boosting + 0.02*k_nearest_neighbors,43430.0451,503.7444
D10,gridsearch,0.68*random_forest + 0.22*adaboost + 0.08*liblinear_svr + 0.02*ard_regression,43219.298,5.5964
D10,gridsearch,0.76*gradient_boosting + 0.24*random_forest,43338.3617,10.9145
D10,optuna,0.78*extra_trees + 0.12*gradient_boosting + 0.1*extra_trees,43227.266,67.7714
D10,optuna,0.94*extra_trees + 0.02*random_forest + 0.02*gradient_boosting + 0.02*ard_regression,43236.6576,28.4424
D2,all,0.58*gradient_boosting + 0.32*random_forest + 0.1*gradient_boosting,43197.9433,36.7287
D2,all,0.841*random_forest + 0.082*gradient_boosting + 0.065*gradient_boosting + 0.024*k_nearest_neighbors,43453.541,476.2028
D2,gridsearch,0.76*gradient_boosting + 0.18*random_forest + 0.06*extra_trees,43427.6676,18.5218
D2,gridsearch,0.8*random_forest + 0.1*adaboost + 0.1*ard_regression,43225.16,7.0918
