TEST_SET,DATASET,EXPERIMENT,REGRESSOR,VALIDATION_MSE,TEST_MSE,PREDICTED_F1,GLOBAL_BEST_F1,PERFORMANCE,OPTIMIZATION_TIME,BEST_REGRESSOR_FIT_TIME,BEST_REGRESSOR_PREDICTION_TIME,WITH_DATA_FEATURES,LM,K,CLUSTERING,THRESHOLD
D1,all,AutoML,AutoML Ensemble {random_forest   random_forest   gradient_boosting   extra_trees   gradient_boosting},,422.3973,55.6962,78.4314,0.7101,43567.2933,,110.9639,1,,,,
D10,all,AutoML,AutoML Ensemble {gradient_boosting   gradient_boosting   random_forest   gradient_boosting   extra_trees},,837.8239,28.6228,56.117,0.5101,43547.1138,,157.0576,1,,,,
D2,all,AutoML,AutoML Ensemble {random_forest   random_forest   gradient_boosting   extra_trees   gradient_boosting},,699.8066,67.8046,85.8486,0.7898,43513.028,,57.0685,1,,,,
D3,all,AutoML,AutoML Ensemble {gradient_boosting   gradient_boosting   random_forest   extra_trees   gradient_boosting},,37.8637,55.9823,59.1887,0.9458,43572.1748,,124.3729,1,,,,
D4,all,AutoML,AutoML Ensemble {gradient_boosting   gradient_boosting   random_forest   extra_trees   gradient_boosting},,2559.2805,97.4463,98.6011,0.9883,43529.2995,,94.7485,1,,,,
D5,all,AutoML,AutoML Ensemble {gradient_boosting   gradient_boosting   random_forest   gradient_boosting   extra_trees},,277.7473,67.8921,78.9235,0.8602,43598.9939,,193.7029,1,,,,
D6,all,AutoML,AutoML Ensemble {random_forest   random_forest   gradient_boosting},,340.6409,40.6015,60.4225,0.672,43297.6385,,17.2385,1,,,,
D7,all,AutoML,AutoML Ensemble {gradient_boosting   gradient_boosting   random_forest   extra_trees},,428.7394,57.5722,67.76,0.8496,43573.8412,,106.9819,1,,,,
D8,all,AutoML,AutoML Ensemble {random_forest   random_forest   gradient_boosting   gradient_boosting},,528.7882,40.4487,49.5337,0.8166,43348.7592,,32.8421,1,,,,
D9,all,AutoML,AutoML Ensemble {random_forest   random_forest   gradient_boosting   extra_trees},,1687.3025,94.3686,94.9241,0.9941,43536.1394,,83.7736,1,,,,
D1,all,AutoML,AutoML Ensemble {gradient_boosting   gradient_boosting   random_forest   gradient_boosting},,319.4926,57.1429,78.4314,0.7286,43203.1265,,37.6561,0,,,,
D10,all,AutoML,AutoML Ensemble {gradient_boosting   gradient_boosting   random_forest   gradient_boosting},,794.2429,55.3979,56.117,0.9872,43245.4106,,132.9546,0,,,,
D2,all,AutoML,AutoML Ensemble {gradient_boosting   gradient_boosting   random_forest   gradient_boosting},,304.1842,78.4878,85.8486,0.9143,43200.1798,,39.585,0,,,,
D3,all,AutoML,AutoML Ensemble {gradient_boosting   gradient_boosting   random_forest   gradient_boosting},,210.9126,57.4176,59.1887,0.9701,43197.4303,,42.1128,0,,,,
D4,all,AutoML,AutoML Ensemble {gradient_boosting   gradient_boosting   random_forest   random_forest   gradient_boosting},,2144.7816,98.1761,98.6011,0.9957,43229.05,,136.7929,0,,,,
D5,all,AutoML,AutoML Ensemble {gradient_boosting   gradient_boosting   random_forest   gradient_boosting},,239.3281,68.9032,78.9235,0.873,43225.4513,,114.781,0,,,,
D6,all,AutoML,AutoML Ensemble {gradient_boosting   gradient_boosting   random_forest   gradient_boosting},,395.8337,46.6491,60.4225,0.772,43201.5857,,97.8737,0,,,,
D7,all,AutoML,AutoML Ensemble {random_forest   random_forest   gradient_boosting   gradient_boosting},,265.6165,57.3192,67.76,0.8459,43198.5056,,86.2452,0,,,,
