TEST_SET,DATASET,EXPERIMENT,REGRESSOR,VALIDATION_MSE,TEST_MSE,PREDICTED_F1,GLOBAL_BEST_F1,PERFORMANCE,OPTIMIZATION_TIME,BEST_REGRESSOR_FIT_TIME,BEST_REGRESSOR_PREDICTION_TIME,WITH_DATA_FEATURES,LM,K,CLUSTERING,THRESHOLD,ETEER_RUNTIME
D1,all,DL-SKLEARN,LinearRegression,247.1241,9.87297446005863e+22,55.3459,78.4314,0.7057,0.4103,0.326,0.0147,1,st5,1.0,KiralyMSMApproximateClustering,0.05,0.2369
D2,all,DL-SKLEARN,LinearRegression,241.8828,6.6547508996021055e+22,81.9401,85.8486,0.9545,0.2646,0.2393,0.0027,1,st5,1.0,KiralyMSMApproximateClustering,0.05,0.2036
D3,all,DL-SKLEARN,LinearRegression,270.4079,1.1380669042156172e+25,55.9823,59.1887,0.9458,0.2557,0.3289,0.0026,1,st5,1.0,KiralyMSMApproximateClustering,0.05,0.4788
D4,all,DL-SKLEARN,LinearRegression,243.8159,2.1300599712848315e+24,98.3769,98.6011,0.9977,0.238,0.2086,0.0022,1,st5,1.0,KiralyMSMApproximateClustering,0.05,0.8333
D5,all,DL-SKLEARN,LinearRegression,252.0246,2.744489959715826e+23,69.3934,78.9235,0.8792,0.2222,0.2088,0.0025,1,st5,1.0,KiralyMSMApproximateClustering,0.05,0.7913
D6,all,DL-SKLEARN,LinearRegression,269.9015,5.433684869943058e+23,43.8459,60.4225,0.7257,0.2473,0.2095,0.0023,1,st5,1.0,KiralyMSMApproximateClustering,0.05,1.3672
D7,all,DL-SKLEARN,LinearRegression,254.9566,3.843764838138442e+22,48.4848,67.76,0.7155,0.2271,0.2079,0.0024,1,st5,1.0,KiralyMSMApproximateClustering,0.05,1.6235
D8,all,DL-SKLEARN,LinearRegression,279.2682,6.014745922896272e+22,38.0861,49.5337,0.7689,0.2728,0.2092,0.0021,1,st5,1.0,KiralyMSMApproximateClustering,0.05,1.6269
D9,all,DL-SKLEARN,LinearRegression,228.6403,2.280802164194308e+25,92.8452,94.9241,0.9781,0.227,0.2081,0.0025,1,st5,1.0,KiralyMSMApproximateClustering,0.05,4.2272
D10,all,DL-SKLEARN,LinearRegression,261.5896,25893028.7451,55.3979,56.117,0.9872,0.2224,0.2068,0.0021,1,st5,1.0,KiralyMSMApproximateClustering,0.05,12.5363
D1,all,DL-SKLEARN,RandomForestRegressor,114.997,285.3983,55.3459,78.4314,0.7057,4551.7262,77.5193,0.8489,1,,,,,
D2,all,DL-SKLEARN,RandomForestRegressor,104.6702,845.7212,78.4566,85.8486,0.9139,7094.0096,124.3614,1.5714,1,,,,,
D3,all,DL-SKLEARN,RandomForestRegressor,113.0901,526.7141,55.9823,59.1887,0.9458,6715.0952,99.152,1.197,1,,,,,
D4,all,DL-SKLEARN,RandomForestRegressor,106.2961,2319.8217,98.1761,98.6011,0.9957,6125.1111,221.2447,2.2515,1,,,,,
D5,all,DL-SKLEARN,RandomForestRegressor,104.7636,394.8071,76.2613,78.9235,0.9663,7761.5787,196.8184,2.5271,1,,,,,
D6,all,DL-SKLEARN,RandomForestRegressor,115.2205,391.7454,47.6932,60.4225,0.7893,6022.2469,121.009,1.3155,1,,,,,
D7,all,DL-SKLEARN,RandomForestRegressor,112.1949,271.7571,64.2428,67.76,0.9481,5075.9145,31.8871,0.2999,1,,,,,
D8,all,DL-SKLEARN,RandomForestRegressor,127.3059,674.0332,40.7814,49.5337,0.8233,7154.0789,140.8174,1.3669,1,,,,,
