TEST_SET,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
D1,0.036570819255763,0.0475793855539244,0.0255694843931207,0.0269762561444066,0.0275116815686775,0.0574585758985722,0.0734248557072111,0.0444339985415778,0.0336833216468756,0.1085602896773964,0.0488622848257071,0.0397439124016951
D2,0.0335067898282761,0.0470672221899536,0.0500457852664724,0.0276439943794557,0.0361645218197742,0.0550031910648303,0.0666517901028537,0.0423014929034384,0.0528039307184901,0.0994134902844938,0.0619845197703264,0.0429759289657389
D3,0.0385679897386733,0.065899511258819,0.0250288973226373,0.0299921889483438,0.0441067884816182,0.0453370910012427,0.0587998323972732,0.0494407266007408,0.0522439478900479,0.1011026690070427,0.0389721804703214,0.0263726464467346
D4,0.0747973541990129,0.0121067980261227,0.0343445850950481,0.0310200012265882,0.0341234165678422,0.0532228835827631,0.0531822288303743,0.0304833701652944,0.0188534527032,0.0144226410484001,0.030442718906277,0.0228413289300195
D5,0.0396254426941337,0.0385370886723068,0.0274762717910288,0.0375918613867739,0.0406053428929132,0.0563856824007881,0.0667528114299442,0.036082921287264,0.0660520622729794,0.1057419469096038,0.0411994761397507,0.0318984803264907
D6,0.0305475211698305,0.0323909561205516,0.021250859114124,0.0319604761204144,0.0527800357848237,0.0447525835079202,0.083859972262666,0.0228806673976823,0.02350515900811,0.1046566983457308,0.0629195534892754,0.0422217790407001
D7,0.04791419222799,0.0393427281697436,0.0298216155681784,0.0306551999755947,0.0378184607190607,0.0588658243525784,0.069875348044969,0.0338078922739026,0.0507203368620712,0.0973786560251237,0.046610626942587,0.0382478601555863
D8,0.0301422852396372,0.0296874549772556,0.0311454804562425,0.0282772848828344,0.0236928576697292,0.0675573972811786,0.0575819420310374,0.0527872695641798,0.0268553392105104,0.1056035196529445,0.0510859152921352,0.0537510821889728
D9,0.0412952926558875,0.0254710074728074,0.0551725019475534,0.0261160598294733,0.0400399022384829,0.0762435915371998,0.0444916288283473,0.06596581191882,0.0220405124619485,0.1377378912516292,0.0372372818551885,0.0223379762415437
D10,0.0410785039004594,0.0315504869741804,0.0254994400996742,0.0405235082353544,0.0291529292291808,0.07358990386012,0.0452820815691897,0.0379198698845761,0.0345637515911561,0.0993690871182139,0.0369982461160383,0.0474232801928897
