TEST_SET,DATASET,REGRESSOR,OPTIMIZATION_TIME,BEST_REGRESSOR_PREDICTION_TIME,BEST_REGRESSOR_FIT_TIME
D1,all,Lasso,70834.7107,0.0275,1570.2286
D1,all,LinearRegression,1.4747,0.0582,1.7105
D1,all,NN,27715.3622,0.7789,754.6006
D1,all,RandomForestRegressor,4551.7262,0.8489,77.5193
D1,all,Ridge,11.6841,0.0331,0.061
D1,all,XGBRegressor,108958.672,0.5034,3255.6326
D1,gridsearch,Lasso,70718.5902,0.0275,1547.3801
D1,gridsearch,LinearRegression,0.7762,0.0728,0.8931
D1,gridsearch,NN,12571.1026,0.5344,287.4166
D1,gridsearch,RandomForestRegressor,5214.2434,1.8,130.0101
D1,gridsearch,Ridge,9.1066,0.0233,0.0762
D1,gridsearch,XGBRegressor,90449.891,0.1899,1399.8004
D1,optuna,Lasso,27130.7841,0.0012,1579.6443
D1,optuna,LinearRegression,0.8493,0.0012,0.825
D1,optuna,NN,8573.596,0.3013,192.7117
D1,optuna,RandomForestRegressor,1851.4139,0.2879,31.6342
D1,optuna,Ridge,5.0586,0.0011,0.0287
D1,optuna,XGBRegressor,88921.9027,0.135,1144.4428
D10,all,Lasso,105282.2767,0.039,2142.4126
D10,all,LinearRegression,1.0469,0.0735,1.1124
D10,all,NN,19973.5477,0.5659,616.0639
D10,all,RandomForestRegressor,7763.4908,2.3821,228.7473
D10,all,Ridge,10.4366,0.043,0.0749
D10,all,XGBRegressor,17825.7751,0.0344,2.8574
D10,gridsearch,Lasso,104314.2585,0.0315,2079.0167
D10,gridsearch,LinearRegression,0.8662,0.1081,0.842
D10,gridsearch,NN,16486.3027,0.4414,493.1437
D10,gridsearch,RandomForestRegressor,3865.1069,0.2923,23.0463
D10,gridsearch,Ridge,10.0743,0.0431,0.1078
D10,gridsearch,XGBRegressor,30571.3308,0.0883,633.0021
D10,optuna,Lasso,117535.2361,0.0011,2588.9111
D10,optuna,LinearRegression,1.0606,0.0015,1.2202
D10,optuna,NN,10652.6071,0.3046,282.4569
D10,optuna,RandomForestRegressor,2365.0389,0.5549,57.6562
