,Dataset,Max Trials,F1 Ratio
0,D1,5,0.7203655673960275
1,D1,10,0.874032031499274
2,D1,15,0.8803808721877776
3,D1,20,0.8914201814067964
4,D1,25,0.8947440750199585
5,D1,30,0.8947440750199585
6,D1,35,0.9070676098443176
7,D1,40,0.910441018960201
8,D1,45,0.912453678511993
9,D1,50,0.912453678511993
10,D1,55,0.912453678511993
11,D1,60,0.9159454482145954
12,D1,65,0.9182864458592993
13,D1,70,0.939066275308843
14,D1,75,0.9414586419777604
15,D1,80,0.9735036454795921
16,D1,85,0.9932415310617103
17,D1,90,0.9932415310617103
18,D1,95,0.9932415310617103
19,D1,100,1.0217926465506626
20,D2,5,0.8941760261669963
21,D2,10,0.9393168904326918
22,D2,15,0.9549660681711757
23,D2,20,0.9778409898355943
24,D2,25,0.9859564395924918
25,D2,30,0.9931393173563693
26,D2,35,0.9932313398238294
27,D2,40,0.9932313398238294
28,D2,45,0.9932313398238294
29,D2,50,0.9932313398238294
30,D2,55,0.9932313398238294
31,D2,60,0.9932313398238294
32,D2,65,0.9941261709567774
33,D2,70,0.9942498771092365
34,D2,75,0.9942498771092365
35,D2,80,0.9959237541439231
36,D2,85,0.9959237541439231
37,D2,90,0.9959237541439231
38,D2,95,0.9959237541439231
39,D2,100,0.9959237541439231
40,D3,5,0.9236722550081351
41,D3,10,0.9593182482467093
42,D3,15,0.9795062233162749
43,D3,20,0.9812420276167579
44,D3,25,0.9812846033111051
45,D3,30,0.9834160912471468
46,D3,35,0.9860686245854361
47,D3,40,0.9884167079189102
48,D3,45,0.9886363444373673
49,D3,50,0.9899727481765945
50,D3,55,0.9903305867505117
51,D3,60,0.990428916330313
52,D3,65,0.990724918776726
53,D3,70,0.9908735958046047
54,D3,75,0.9908735958046047
55,D3,80,0.9910222728324833
56,D3,85,0.9916024511435461
57,D3,90,0.9916511090799426
58,D3,95,0.9916511090799426
59,D3,100,0.9916511090799426
60,D4,5,0.9894591439649254
61,D4,10,0.9943641602375632
62,D4,15,0.9978574275540537
63,D4,20,0.9978574275540537
64,D4,25,0.9984063058120042
65,D4,30,0.9984063058120042
66,D4,35,0.9988239482115311
67,D4,40,0.9988239482115311
68,D4,45,0.9990983873405064
69,D4,50,0.9990983873405064
70,D4,55,0.9990983873405064
71,D4,60,0.9990983873405064
72,D4,65,0.9990983873405064
73,D4,70,0.9991190767648637
74,D4,75,0.9992091366120662
75,D4,80,0.9992091366120662
76,D4,85,0.9992091366120662
77,D4,90,0.9992091366120662
78,D4,95,0.9992091366120662
79,D4,100,0.9992091366120662
80,D5,5,0.8559424836933396
81,D5,10,0.8974365358111412
82,D5,15,0.9651083829254816
83,D5,20,0.9709596001295641
84,D5,25,0.9758289245543058
85,D5,30,0.9760159033604106
86,D5,35,0.9824123060507715
87,D5,40,0.9829132873084325
88,D5,45,0.9846072746441751
89,D5,50,0.9868738845736134
90,D5,55,0.987098208331481
91,D5,60,0.9877945519558468
92,D5,65,0.9909035827019199
93,D5,70,0.9909035827019199
94,D5,75,0.992250033343707
95,D5,80,0.9933325288502455
96,D5,85,0.9947257241935588
97,D5,90,0.9948357266705198
98,D5,95,0.9961146007329265
99,D5,100,0.9961146007329265
100,D6,5,0.680972360065988
101,D6,10,0.739371388170626
102,D6,15,0.8673933753116008
103,D6,20,0.9205007518247934
104,D6,25,0.9247959451250883
105,D6,30,0.9417997988495255
106,D6,35,0.95605824733542
107,D6,40,0.966044073861392
108,D6,45,0.9717944547527609
109,D6,50,0.9739274464179615
110,D6,55,0.9963543965983662
111,D6,60,0.9993049354891175
112,D6,65,0.9993049354891175
113,D6,70,0.9993049354891175
