,Dataset,Max Trials,F1 Ratio
0,D1,5,0.7203655673960275
1,D1,10,0.874032031499274
2,D1,15,0.8752074289141408
3,D1,20,0.8752074289141408
4,D1,25,0.9104955654498299
5,D1,30,0.9168745920597786
6,D1,35,0.9168745920597786
7,D1,40,0.9366868832903714
8,D1,45,0.9366868832903714
9,D1,50,0.9371333171812176
10,D1,55,0.9371333171812176
11,D1,60,0.9371333171812176
12,D1,65,0.9371333171812176
13,D1,70,0.9371333171812176
14,D1,75,0.9868008086649483
15,D1,80,0.9868008086649483
16,D1,85,0.9868008086649483
17,D1,90,0.9868008086649483
18,D1,95,0.9868008086649483
19,D1,100,0.9868008086649483
20,D2,5,0.8941760261669963
21,D2,10,0.9393168904326918
22,D2,15,0.9643409444067811
23,D2,20,0.9643409444067811
24,D2,25,0.9927171788474126
25,D2,30,0.9927171788474126
26,D2,35,0.9928094342831449
27,D2,40,0.9932178276640503
28,D2,45,0.9933100830997826
29,D2,50,0.9937743888659802
30,D2,55,0.9937743888659802
31,D2,60,0.9937743888659802
32,D2,65,0.9937743888659802
33,D2,70,0.9937743888659802
34,D2,75,0.9937743888659802
35,D2,80,0.9937743888659802
36,D2,85,0.9937743888659802
37,D2,90,0.9938787586518592
38,D2,95,0.9938787586518592
39,D2,100,0.9938787586518592
40,D3,5,0.9236722550081351
41,D3,10,0.9593182482467093
42,D3,15,0.9755993965064279
43,D3,20,0.9778254970965743
44,D3,25,0.9828298306940346
45,D3,30,0.9860355101564995
46,D3,35,0.98900060315567
47,D3,40,0.98900060315567
48,D3,45,0.98900060315567
49,D3,50,0.98900060315567
50,D3,55,0.98900060315567
51,D3,60,0.98900060315567
52,D3,65,0.98900060315567
53,D3,70,0.9896304531101378
54,D3,75,0.9897916325244515
55,D3,80,0.9897916325244515
56,D3,85,0.9900112690429085
57,D3,90,0.9900112690429085
58,D3,95,0.9900112690429085
59,D3,100,0.9900112690429085
60,D4,5,0.9894591439649254
61,D4,10,0.9943641602375632
62,D4,15,0.9943641602375632
63,D4,20,0.9943641602375632
64,D4,25,0.9949146611954633
65,D4,30,0.9949594882815708
66,D4,35,0.9949594882815708
67,D4,40,0.9968836047468032
68,D4,45,0.9968836047468032
69,D4,50,0.9974018545432048
70,D4,55,0.9974018545432048
71,D4,60,0.9974018545432048
72,D4,65,0.9974018545432048
73,D4,70,0.9974018545432048
74,D4,75,0.9979103681399092
75,D4,80,0.9979103681399092
76,D4,85,0.9979103681399092
77,D4,90,0.9979103681399092
78,D4,95,0.9979103681399092
79,D4,100,0.9979103681399092
80,D5,5,0.8559424836933396
81,D5,10,0.8974365358111412
82,D5,15,0.9173607026948066
83,D5,20,0.9209448018748689
84,D5,25,0.9300280087138222
85,D5,30,0.9487256352770069
86,D5,35,0.9535756521076398
87,D5,40,0.9738323668950976
88,D5,45,0.9851529682250351
89,D5,50,0.9858472794710736
90,D5,55,0.9858472794710736
91,D5,60,0.9858472794710736
92,D5,65,0.9858472794710736
93,D5,70,0.9858472794710736
94,D5,75,0.9858472794710736
95,D5,80,0.9858472794710736
96,D5,85,0.9858472794710736
97,D5,90,0.9887037872099891
98,D5,95,0.9887037872099891
99,D5,100,0.9895528132561877
100,D6,5,0.680972360065988
101,D6,10,0.739371388170626
102,D6,15,0.790159559460545
103,D6,20,0.796022133190824
104,D6,25,0.831831232760309
105,D6,30,0.8438796814785556
106,D6,35,0.8556449926477179
107,D6,40,0.8556449926477179
108,D6,45,0.8788938051628622
109,D6,50,0.8788938051628622
110,D6,55,0.8840115246608489
111,D6,60,0.8840115246608489
112,D6,65,0.8881271430325924
113,D6,70,0.9060258840165035
