,Dataset,Max Trials,F1 Ratio
0,D1,5,0.7203655673960275
1,D1,10,0.874032031499274
2,D1,15,0.8752074289141408
3,D1,20,0.8757724881804908
4,D1,25,0.8787587760932798
5,D1,30,0.9116288614479446
6,D1,35,0.9443334538122305
7,D1,40,0.9443334538122305
8,D1,45,0.9443334538122305
9,D1,50,0.9531932865451551
10,D1,55,0.954556419208308
11,D1,60,0.955122008052227
12,D1,65,0.9591939299819017
13,D1,70,1.014075377423314
14,D1,75,1.0223585001833662
15,D1,80,1.0223585001833662
16,D1,85,1.0224877171102542
17,D1,90,1.027196985644476
18,D1,95,1.027196985644476
19,D1,100,1.027196985644476
20,D2,5,0.8941760261669963
21,D2,10,0.9393168904326918
22,D2,15,0.9604259125949637
23,D2,20,0.9633349874080648
24,D2,25,0.963463352925965
25,D2,30,0.9677895737379526
26,D2,35,0.9677895737379526
27,D2,40,0.9682671586956572
28,D2,45,0.9735755737426119
29,D2,50,0.974073426939985
30,D2,55,0.974073426939985
31,D2,60,0.9768804616499279
32,D2,65,0.9771931050710203
33,D2,70,0.9901743301579756
34,D2,75,0.9903311178050661
35,D2,80,0.9994366827181805
36,D2,85,0.9994366827181805
37,D2,90,0.9995615537119998
38,D2,95,0.9995615537119998
39,D2,100,0.9997183413590903
40,D3,5,0.9236722550081351
41,D3,10,0.9593182482467093
42,D3,15,0.9800299719372111
43,D3,20,0.9804286966937946
44,D3,25,0.9804824231652326
45,D3,30,0.9806246800487255
46,D3,35,0.9808956777222679
47,D3,40,0.9808956777222679
48,D3,45,0.9815120115832922
49,D3,50,0.9817536117535948
50,D3,55,0.9817536117535948
51,D3,60,0.9817536117535948
52,D3,65,0.9819779789047572
53,D3,70,0.9819779789047572
54,D3,75,0.9820205545991042
55,D3,80,0.9823726488333077
56,D3,85,0.9829862794756431
57,D3,90,0.9830227729279406
58,D3,95,0.9858743307421857
59,D3,100,0.9858743307421857
60,D4,5,0.9894591439649254
61,D4,10,0.9943641602375632
62,D4,15,0.9947213570639678
63,D4,20,0.9949874798557015
64,D4,25,0.9951621229377766
65,D4,30,0.997036747054546
66,D4,35,0.997036747054546
67,D4,40,0.997036747054546
68,D4,45,0.997036747054546
69,D4,50,0.9970395867794578
70,D4,55,0.9970395867794578
71,D4,60,0.9970395867794578
72,D4,65,0.9973138230709394
73,D4,70,0.9973138230709394
74,D4,75,0.9973138230709394
75,D4,80,0.9973138230709394
76,D4,85,0.9973138230709394
77,D4,90,0.9973138230709394
78,D4,95,0.9973138230709394
79,D4,100,0.9974034772431546
80,D5,5,0.8559424836933396
81,D5,10,0.8974365358111412
82,D5,15,0.9855642707890073
83,D5,20,0.9855642707890073
84,D5,25,0.9856407390235693
85,D5,30,0.9867006243212176
86,D5,35,0.9874251671948734
87,D5,40,0.9874251671948734
88,D5,45,0.9874251671948734
89,D5,50,0.9874251671948734
90,D5,55,0.9874251671948734
91,D5,60,0.9874251671948734
92,D5,65,0.9884738744117219
93,D5,70,0.9908446437304305
94,D5,75,0.9930147156893255
95,D5,80,0.9930147156893255
96,D5,85,0.9930147156893255
97,D5,90,0.9930147156893255
98,D5,95,0.9930147156893255
99,D5,100,0.9930147156893255
100,D6,5,0.680972360065988
101,D6,10,0.739371388170626
102,D6,15,0.8554212708328492
103,D6,20,0.8716570351216695
104,D6,25,0.8911765975032115
105,D6,30,0.8911765975032115
106,D6,35,0.8980123943213163
107,D6,40,0.9141973730942985
108,D6,45,0.9190907069144646
109,D6,50,0.9398516930164937
110,D6,55,0.9410821629982706
111,D6,60,0.9410821629982706
112,D6,65,0.9420135627201119
113,D6,70,0.949316055193566
