max_trials,f1,f1_ratio
5,67.3845,0.8559424836933396
10,70.65114,0.8974365358111412
15,75.97864,0.9651083829254816
20,76.43928,0.9709596001295641
25,76.82262,0.9758289245543058
30,76.83734,0.9760159033604106
35,77.3409,0.9824123060507715
40,77.38034,0.9829132873084325
45,77.5137,0.9846072746441751
50,77.69214,0.9868738845736134
55,77.7098,0.987098208331481
60,77.76462000000001,0.9877945519558468
65,78.00938,0.9909035827019199
70,78.00938,0.9909035827019199
75,78.11538,0.992250033343707
80,78.2006,0.9933325288502455
85,78.31028,0.9947257241935588
90,78.31894,0.9948357266705198
95,78.41962,0.9961146007329265
100,78.41962,0.9961146007329265
