sampler,dataset,max_trials,f1,f1_ratio
GPSampler,D4,5,97.56176,0.9894591439649254
GPSampler,D4,10,98.0454,0.9943641602375632
GPSampler,D4,15,98.38984,0.9978574275540536
GPSampler,D4,20,98.38984,0.9978574275540536
GPSampler,D4,25,98.44396,0.9984063058120042
GPSampler,D4,30,98.44396,0.9984063058120042
GPSampler,D4,35,98.48514,0.9988239482115312
GPSampler,D4,40,98.48514,0.9988239482115312
GPSampler,D4,45,98.5122,0.9990983873405064
GPSampler,D4,50,98.5122,0.9990983873405064
GPSampler,D4,55,98.5122,0.9990983873405064
GPSampler,D4,60,98.5122,0.9990983873405064
GPSampler,D4,65,98.5122,0.9990983873405064
GPSampler,D4,70,98.51424,0.9991190767648636
GPSampler,D4,75,98.52312,0.9992091366120662
GPSampler,D4,80,98.52312,0.9992091366120662
GPSampler,D4,85,98.52312,0.9992091366120662
GPSampler,D4,90,98.52312,0.9992091366120662
GPSampler,D4,95,98.52312,0.9992091366120662
GPSampler,D4,100,98.52312,0.9992091366120662
RandomSampler,D6,5,41.0309,0.680972360065988
RandomSampler,D6,10,44.54964,0.739371388170626
RandomSampler,D6,15,47.6098,0.790159559460545
RandomSampler,D6,20,47.96304,0.796022133190824
RandomSampler,D6,25,50.12066,0.831831232760309
RandomSampler,D6,30,50.84662,0.8438796814785556
RandomSampler,D6,35,51.55552,0.8556449926477179
RandomSampler,D6,40,51.55552,0.8556449926477179
RandomSampler,D6,45,52.95634,0.8788938051628622
RandomSampler,D6,50,52.95634,0.8788938051628622
RandomSampler,D6,55,53.26469999999999,0.8840115246608489
RandomSampler,D6,60,53.26469999999999,0.8840115246608489
RandomSampler,D6,65,53.51268,0.8881271430325924
RandomSampler,D6,70,54.59114,0.9060258840165036
RandomSampler,D6,75,54.59114,0.9060258840165036
RandomSampler,D6,80,54.68561999999999,0.9075939283094396
RandomSampler,D6,85,54.68561999999999,0.9075939283094396
RandomSampler,D6,90,54.68561999999999,0.9075939283094396
RandomSampler,D6,95,55.57616,0.9223738411442344
RandomSampler,D6,100,55.57616,0.9223738411442344
TPESampler,D1,5,54.41058,0.7203655673960275
TPESampler,D1,10,66.0173,0.874032031499274
TPESampler,D1,15,66.10607999999999,0.8752074289141408
TPESampler,D1,20,66.14876000000001,0.8757724881804908
TPESampler,D1,25,66.37432,0.8787587760932798
TPESampler,D1,30,68.85706,0.9116288614479446
TPESampler,D1,35,71.32730000000001,0.9443334538122304
TPESampler,D1,40,71.32730000000001,0.9443334538122304
TPESampler,D1,45,71.32730000000001,0.9443334538122304
TPESampler,D1,50,71.9965,0.9531932865451552
TPESampler,D1,55,72.09946,0.954556419208308
TPESampler,D1,60,72.14218,0.955122008052227
TPESampler,D1,65,72.44973999999999,0.9591939299819016
TPESampler,D1,70,76.59504,1.014075377423314
TPESampler,D1,75,77.22067999999999,1.0223585001833662
TPESampler,D1,80,77.22067999999999,1.0223585001833662
TPESampler,D1,85,77.23044,1.0224877171102542
TPESampler,D1,90,77.58614,1.027196985644476
TPESampler,D1,95,77.58614,1.027196985644476
TPESampler,D1,100,77.58614,1.027196985644476
RandomSampler,D1,5,54.41058,0.7203655673960275
RandomSampler,D1,10,66.0173,0.874032031499274
RandomSampler,D1,15,66.10607999999999,0.8752074289141408
RandomSampler,D1,20,66.10607999999999,0.8752074289141408
RandomSampler,D1,25,68.77146,0.91049556544983
RandomSampler,D1,30,69.25327999999999,0.9168745920597786
RandomSampler,D1,35,69.25327999999999,0.9168745920597786
RandomSampler,D1,40,70.74974,0.9366868832903714
RandomSampler,D1,45,70.74974,0.9366868832903714
RandomSampler,D1,50,70.78346,0.9371333171812176
RandomSampler,D1,55,70.78346,0.9371333171812176
RandomSampler,D1,60,70.78346,0.9371333171812176
RandomSampler,D1,65,70.78346,0.9371333171812176
RandomSampler,D1,70,70.78346,0.9371333171812176
RandomSampler,D1,75,74.53494,0.9868008086649483
RandomSampler,D1,80,74.53494,0.9868008086649483
RandomSampler,D1,85,74.53494,0.9868008086649483
RandomSampler,D1,90,74.53494,0.9868008086649483
RandomSampler,D1,95,74.53494,0.9868008086649483
RandomSampler,D1,100,74.53494,0.9868008086649483
TPESampler,D7,5,59.21046,0.8790712590025789
TPESampler,D7,10,63.5779,0.9439126903884898
TPESampler,D7,15,63.86972,0.9482452116153496
TPESampler,D7,20,64.28378000000001,0.9543925755355523
TPESampler,D7,25,64.52311999999999,0.9579459496375212
TPESampler,D7,30,65.1385,0.967082221697644
TPESampler,D7,35,65.76696,0.9764126866768512
TPESampler,D7,40,66.16796,0.9823661546090382
TPESampler,D7,45,66.38426,0.985577464119592
TPESampler,D7,50,66.68226,0.9900017370467532
TPESampler,D7,55,66.7209,0.9905754078719397
TPESampler,D7,60,66.7209,0.9905754078719397
TPESampler,D7,65,66.74826,0.9909816095742454
TPESampler,D7,70,66.76831999999999,0.9912794314363892
TPESampler,D7,75,66.78756,0.9915650791247066
TPESampler,D7,80,66.91409999999999,0.9934437619978708
TPESampler,D7,85,66.92699999999999,0.9936352825373352
TPESampler,D7,90,66.92699999999999,0.9936352825373352
TPESampler,D7,95,66.93188,0.993707733718156
TPESampler,D7,100,66.93188,0.993707733718156
GPSampler,D3,5,54.67096,0.9236722550081352
GPSampler,D3,10,56.7808,0.9593182482467092
GPSampler,D3,15,57.9757,0.9795062233162748
GPSampler,D3,20,58.07844,0.981242027616758
GPSampler,D3,25,58.080960000000005,0.9812846033111052
GPSampler,D3,30,58.20712,0.9834160912471468
GPSampler,D3,35,58.36412,0.986068624585436
GPSampler,D3,40,58.5031,0.9884167079189102
GPSampler,D3,45,58.5161,0.9886363444373673
GPSampler,D3,50,58.5952,0.9899727481765944
GPSampler,D3,55,58.61638000000001,0.9903305867505116
GPSampler,D3,60,58.6222,0.990428916330313
GPSampler,D3,65,58.63972,0.990724918776726
GPSampler,D3,70,58.64852,0.9908735958046048
GPSampler,D3,75,58.64852,0.9908735958046048
GPSampler,D3,80,58.657320000000006,0.9910222728324832
GPSampler,D3,85,58.69166,0.991602451143546
GPSampler,D3,90,58.69454,0.9916511090799426
GPSampler,D3,95,58.69454,0.9916511090799426
GPSampler,D3,100,58.69454,0.9916511090799426
RandomSampler,D9,5,91.89894,0.9685184658237612
RandomSampler,D9,10,93.1217,0.9814050740835591
RandomSampler,D9,15,93.52682,0.9856746140899456
RandomSampler,D9,20,93.52682,0.9856746140899456
RandomSampler,D9,25,93.96628,0.9903060616886984
RandomSampler,D9,30,94.01874,0.9908589350811132
RandomSampler,D9,35,94.01874,0.9908589350811132
RandomSampler,D9,40,94.56808,0.9966484026638254
RandomSampler,D9,45,94.56808,0.9966484026638254
RandomSampler,D9,50,94.56808,0.9966484026638254
RandomSampler,D9,55,94.56808,0.9966484026638254
RandomSampler,D9,60,94.56808,0.9966484026638254
RandomSampler,D9,65,94.56808,0.9966484026638254
RandomSampler,D9,70,94.56808,0.9966484026638254
RandomSampler,D9,75,94.56808,0.9966484026638254
RandomSampler,D9,80,94.56808,0.9966484026638254
RandomSampler,D9,85,94.56808,0.9966484026638254
RandomSampler,D9,90,94.56808,0.9966484026638254
RandomSampler,D9,95,94.56808,0.9966484026638254
RandomSampler,D9,100,94.6597,0.9976139813945352
TPESampler,D3,5,54.67096,0.9236722550081352
TPESampler,D3,10,56.7808,0.9593182482467092
TPESampler,D3,15,58.0067,0.9800299719372112
TPESampler,D3,20,58.0303,0.9804286966937946
TPESampler,D3,25,58.03348,0.9804824231652326
TPESampler,D3,30,58.0419,0.9806246800487256
TPESampler,D3,35,58.05794,0.980895677722268
TPESampler,D3,40,58.05794,0.980895677722268
TPESampler,D3,45,58.09442,0.9815120115832922
TPESampler,D3,50,58.10871999999999,0.9817536117535948
TPESampler,D3,55,58.10871999999999,0.9817536117535948
TPESampler,D3,60,58.10871999999999,0.9817536117535948
TPESampler,D3,65,58.122,0.9819779789047572
TPESampler,D3,70,58.122,0.9819779789047572
TPESampler,D3,75,58.12452,0.9820205545991042
TPESampler,D3,80,58.14536,0.9823726488333075
TPESampler,D3,85,58.18167999999999,0.9829862794756432
TPESampler,D3,90,58.18384,0.9830227729279406
TPESampler,D3,95,58.35262,0.9858743307421856
TPESampler,D3,100,58.35262,0.9858743307421856
QMCSampler,D6,5,41.5362,0.6893586088087975
QMCSampler,D6,10,46.1591,0.7660829098440919
QMCSampler,D6,15,50.15204,0.8323520332462566
QMCSampler,D6,20,50.65772,0.8407445886871114
QMCSampler,D6,25,51.07614,0.8476889270978898
QMCSampler,D6,30,51.07614,0.8476889270978898
QMCSampler,D6,35,52.14226,0.8653828663610684
QMCSampler,D6,40,52.59432,0.87288551351459
QMCSampler,D6,45,52.59432,0.87288551351459
QMCSampler,D6,50,52.61582,0.8732423398513611
QMCSampler,D6,55,53.11096,0.8814599674043291
QMCSampler,D6,60,53.11096,0.8814599674043291
QMCSampler,D6,65,53.11096,0.8814599674043291
QMCSampler,D6,70,53.11096,0.8814599674043291
QMCSampler,D6,75,53.73358,0.8917933261857423
QMCSampler,D6,80,53.73358,0.8917933261857423
QMCSampler,D6,85,53.73358,0.8917933261857423
QMCSampler,D6,90,54.02054,0.8965558790043384
QMCSampler,D6,95,54.89212,0.911021120799822
QMCSampler,D6,100,54.89212,0.911021120799822
TPESampler,D10,5,38.82768,0.6919058395851525
TPESampler,D10,10,51.00124,0.9088376071422208
TPESampler,D10,15,54.0856,0.9638006308248838
TPESampler,D10,20,54.151340000000005,0.9649721118377677
TPESampler,D10,25,54.694500000000005,0.9746511752231946
TPESampler,D10,30,55.325880000000005,0.9859023112425828
TPESampler,D10,35,55.3481,0.986298269686548
TPESampler,D10,40,55.3481,0.986298269686548
TPESampler,D10,45,55.3481,0.986298269686548
TPESampler,D10,50,55.3481,0.986298269686548
TPESampler,D10,55,55.34896,0.9863135948108416
