trial,dataset,clustering,lm,k,threshold,sampler,seed,precision,recall,f1,runtime
0,D6,KiralyMSMApproximateClustering,word2vec,17,0.12019310545098835,gps,16,17.6786,27.7052,21.5843,2.0503
1,D6,KiralyMSMApproximateClustering,smpnet,45,0.47481738416773445,gps,16,43.0943,67.8172,52.7003,2.9038
2,D6,KiralyMSMApproximateClustering,fasttext,66,0.4711965326419649,gps,16,15.0088,23.7873,18.4049,5.6116
3,D6,UniqueMappingClustering,fasttext,58,0.2943416959598126,gps,16,7.1806,25.3731,11.1934,5.0189
4,D6,ConnectedComponentsClustering,smpnet,59,0.7790352058915504,gps,16,82.0833,18.3769,30.0305,3.8529
0,D6,KiralyMSMApproximateClustering,word2vec,17,0.12019310545098835,gps,16,17.6786,27.7052,21.5843,1.886
1,D6,KiralyMSMApproximateClustering,smpnet,45,0.47481738416773445,gps,16,43.0943,67.8172,52.7003,3.1421
2,D6,KiralyMSMApproximateClustering,fasttext,66,0.4711965326419649,gps,16,15.0088,23.7873,18.4049,5.6702
3,D6,UniqueMappingClustering,fasttext,58,0.2943416959598126,gps,16,7.1806,25.3731,11.1934,5.3672
4,D6,ConnectedComponentsClustering,smpnet,59,0.7790352058915504,gps,16,82.0833,18.3769,30.0305,3.6946
5,D6,KiralyMSMApproximateClustering,st5,73,0.22924636895423378,gps,16,35.5178,66.2313,46.239,6.7262
6,D6,KiralyMSMApproximateClustering,smpnet,75,0.41038069916451475,gps,16,40.6951,67.7239,50.8403,5.6602
7,D6,UniqueMappingClustering,word2vec,11,0.16050713565217573,gps,16,10.8579,30.2239,15.9763,1.4124
8,D6,ConnectedComponentsClustering,smpnet,27,0.867117980377068,gps,16,83.5938,9.9813,17.8333,2.1993
9,D6,UniqueMappingClustering,smpnet,90,0.6531767268315849,gps,16,52.5028,44.0299,47.8945,2.8765
0,D6,KiralyMSMApproximateClustering,word2vec,17,0.12019310545098835,gps,16,17.6786,27.7052,21.5843,2.0723
1,D6,KiralyMSMApproximateClustering,smpnet,45,0.47481738416773445,gps,16,43.0943,67.8172,52.7003,3.4732
2,D6,KiralyMSMApproximateClustering,fasttext,66,0.4711965326419649,gps,16,15.0088,23.7873,18.4049,5.41
3,D6,UniqueMappingClustering,fasttext,58,0.2943416959598126,gps,16,7.1806,25.3731,11.1934,5.2856
4,D6,ConnectedComponentsClustering,smpnet,59,0.7790352058915504,gps,16,82.0833,18.3769,30.0305,3.787
5,D6,KiralyMSMApproximateClustering,st5,73,0.22924636895423378,gps,16,35.5178,66.2313,46.239,7.0181
