trial,dataset,clustering,lm,k,threshold,sampler,seed,precision,recall,f1,runtime
0,D6,KiralyMSMApproximateClustering,sminilm,53,0.6000000000000001,gridsearch,42,55.2048,60.3545,57.6649,1.4569034576416016
1,D6,BestMatchClustering,sminilm,27,0.5,gridsearch,42,20.3143,50.653,28.9987,1.4170200824737549
2,D6,BestMatchClustering,sminilm,91,0.7000000000000001,gridsearch,42,55.1471,34.9813,42.8082,2.0298516750335693
3,D6,KiralyMSMApproximateClustering,sminilm,53,0.6500000000000001,gridsearch,42,58.776,47.4813,52.5284,1.5721254348754883
4,D6,BestMatchClustering,sminilm,36,0.6000000000000001,gridsearch,42,41.1462,52.2388,46.0337,1.295583963394165
5,D6,KiralyMSMApproximateClustering,sminilm,53,0.9000000000000001,gridsearch,42,62.1302,9.7948,16.9218,1.3610053062438965
6,D6,KiralyMSMApproximateClustering,st5,6,0.35000000000000003,gridsearch,42,28.8559,68.9366,40.6826,1.1775944232940674
7,D6,KiralyMSMApproximateClustering,st5,91,0.35000000000000003,gridsearch,42,35.8043,66.2313,46.4812,6.234499931335449
8,D6,UniqueMappingClustering,sminilm,28,0.9000000000000001,gridsearch,42,61.5385,9.7015,16.7607,0.8104164600372314
9,D6,UniqueMappingClustering,sminilm,1,0.5,gridsearch,42,45.7417,75.653,57.0123,0.5091936588287354
10,D6,UniqueMappingClustering,st5,20,0.2,gridsearch,42,17.4351,72.6679,28.1227,1.8401875495910645
11,D6,UniqueMappingClustering,st5,20,0.55,gridsearch,42,17.4351,72.6679,28.1227,1.838571548461914
12,D6,KiralyMSMApproximateClustering,sminilm,73,0.3,gridsearch,42,38.2968,73.4142,50.3358,4.922229051589966
13,D6,ConnectedComponentsClustering,sminilm,23,0.2,gridsearch,42,0,0,0,1.1061029434204102
14,D6,KiralyMSMApproximateClustering,st5,71,0.55,gridsearch,42,35.3586,66.2313,46.1039,4.705914258956909
15,D6,UniqueMappingClustering,st5,82,0.7500000000000001,gridsearch,42,44.2017,49.0672,46.5075,1.9013087749481201
16,D6,UniqueMappingClustering,st5,73,0.3,gridsearch,42,15.7362,72.5746,25.8644,5.006634950637817
17,D6,KiralyMSMApproximateClustering,st5,6,0.05,gridsearch,42,28.8559,68.9366,40.6826,0.9891166687011719
18,D6,BestMatchClustering,st5,88,0.4,gridsearch,42,8.1536,38.4328,13.4531,3.503903388977051
