trial,dataset,clustering,lm,k,threshold,sampler,seed,precision,recall,f1,runtime
0,D8,KiralyMSMApproximateClustering,word2vec,17,0.12019310545098835,qmc,16,16.2264,35.2872,22.2304,4.3915
1,D8,ConnectedComponentsClustering,smpnet,1,0.05,qmc,16,13.1868,2.8136,4.6377,1.1993
2,D8,UniqueMappingClustering,word2vec,51,0.49999999999999994,qmc,16,12.4656,37.163,18.669,12.164
3,D8,ConnectedComponentsClustering,fasttext,75,0.27499999999999997,qmc,16,0,0,0,10.6043
4,D8,KiralyMSMApproximateClustering,word2vec,25,0.725,qmc,16,17.0141,35.4045,22.9833,5.5813
0,D8,KiralyMSMApproximateClustering,word2vec,17,0.12019310545098835,qmc,16,16.2264,35.2872,22.2304,4.5345
1,D8,ConnectedComponentsClustering,smpnet,1,0.05,qmc,16,13.1868,2.8136,4.6377,1.1871
2,D8,UniqueMappingClustering,word2vec,51,0.49999999999999994,qmc,16,12.4656,37.163,18.669,12.3037
3,D8,ConnectedComponentsClustering,fasttext,75,0.27499999999999997,qmc,16,0,0,0,9.1255
4,D8,KiralyMSMApproximateClustering,word2vec,25,0.725,qmc,16,17.0141,35.4045,22.9833,5.8251
5,D8,ConnectedComponentsClustering,word2vec,38,0.38749999999999996,qmc,16,0,0,0,5.2382
6,D8,UniqueMappingClustering,st5,88,0.8374999999999999,qmc,16,28.4086,70.1055,40.4327,6.7645
7,D8,ConnectedComponentsClustering,smpnet,63,0.16249999999999998,qmc,16,0,0,0,8.2514
8,D8,KiralyMSMApproximateClustering,sent_glove,13,0.6125,qmc,16,16.6027,35.5217,22.6288,3.9024
9,D8,ConnectedComponentsClustering,smpnet,19,0.33125,qmc,16,0,0,0,3.4891
0,D8,KiralyMSMApproximateClustering,word2vec,17,0.12019310545098835,qmc,16,16.2264,35.2872,22.2304,4.7461
1,D8,ConnectedComponentsClustering,smpnet,1,0.05,qmc,16,13.1868,2.8136,4.6377,1.245
2,D8,UniqueMappingClustering,word2vec,51,0.49999999999999994,qmc,16,12.4656,37.163,18.669,12.5133
3,D8,ConnectedComponentsClustering,fasttext,75,0.27499999999999997,qmc,16,0,0,0,8.9506
4,D8,KiralyMSMApproximateClustering,word2vec,25,0.725,qmc,16,17.0141,35.4045,22.9833,5.5327
