trial,dataset,clustering,lm,k,threshold,sampler,seed,precision,recall,f1,runtime
0,D9,ConnectedComponentsClustering,sdistilroberta,23,0.5573132422113427,tpe,16,91.5254,2.3397,4.5627,11.2173
1,D9,UniqueMappingClustering,st5,70,0.8759183069702524,tpe,16,95.9059,88.3016,91.9468,13.6584
2,D9,BestMatchClustering,sent_glove,55,0.09796940450982233,tpe,16,63.4738,69.1941,66.2106,16.8662
3,D9,KiralyMSMApproximateClustering,sent_glove,27,0.570206071017357,tpe,16,79.1214,66.3345,72.1659,11.3678
4,D9,KiralyMSMApproximateClustering,sent_glove,22,0.7181165624592646,tpe,16,86.6817,49.9133,63.3489,5.503
0,D9,ConnectedComponentsClustering,sdistilroberta,23,0.5573132422113427,tpe,16,91.5254,2.3397,4.5627,10.7996
1,D9,UniqueMappingClustering,st5,70,0.8759183069702524,tpe,16,95.9059,88.3016,91.9468,14.3506
2,D9,BestMatchClustering,sent_glove,55,0.09796940450982233,tpe,16,63.4738,69.1941,66.2106,15.9801
3,D9,KiralyMSMApproximateClustering,sent_glove,27,0.570206071017357,tpe,16,79.1214,66.3345,72.1659,12.0417
4,D9,KiralyMSMApproximateClustering,sent_glove,22,0.7181165624592646,tpe,16,86.6817,49.9133,63.3489,5.551
5,D9,UniqueMappingClustering,sminilm,44,0.5243046510147403,tpe,16,87.0631,93.8908,90.3481,10.1032
6,D9,UniqueMappingClustering,sminilm,20,0.14051661315009667,tpe,16,86.1288,93.8908,89.8425,13.719
7,D9,ConnectedComponentsClustering,sent_glove,46,0.7395230077261655,tpe,16,96.5458,24.2201,38.7253,16.436
8,D9,KiralyMSMApproximateClustering,sent_glove,36,0.8930100289048913,tpe,16,96.875,9.4021,17.1406,7.7237
9,D9,KiralyMSMApproximateClustering,sdistilroberta,18,0.19649528379445302,tpe,16,89.8262,91.8111,90.8078,12.887
0,D9,ConnectedComponentsClustering,sdistilroberta,23,0.5573132422113427,tpe,16,91.5254,2.3397,4.5627,9.89
1,D9,UniqueMappingClustering,st5,70,0.8759183069702524,tpe,16,95.9059,88.3016,91.9468,13.4321
2,D9,BestMatchClustering,sent_glove,55,0.09796940450982233,tpe,16,63.4738,69.1941,66.2106,17.338
3,D9,KiralyMSMApproximateClustering,sent_glove,27,0.570206071017357,tpe,16,79.1214,66.3345,72.1659,11.9961
4,D9,KiralyMSMApproximateClustering,sent_glove,22,0.7181165624592646,tpe,16,86.6817,49.9133,63.3489,5.5027
5,D9,UniqueMappingClustering,sminilm,44,0.5243046510147403,tpe,16,87.0631,93.8908,90.3481,10.1577
6,D9,UniqueMappingClustering,sminilm,20,0.14051661315009667,tpe,16,86.1288,93.8908,89.8425,12.3719
7,D9,ConnectedComponentsClustering,sent_glove,46,0.7395230077261655,tpe,16,96.5458,24.2201,38.7253,17.5031
8,D9,KiralyMSMApproximateClustering,sent_glove,36,0.8930100289048913,tpe,16,96.875,9.4021,17.1406,7.786
9,D9,KiralyMSMApproximateClustering,sdistilroberta,18,0.19649528379445302,tpe,16,89.8262,91.8111,90.8078,12.9368
10,D9,UniqueMappingClustering,st5,83,0.9433630976698483,tpe,16,98.3005,47.617,64.1565,15.4355
11,D9,BestMatchClustering,smpnet,3,0.29793362444719196,tpe,16,83.0414,90.3813,86.556,3.4363
12,D9,KiralyMSMApproximateClustering,sdistilroberta,72,0.3146127800606803,tpe,16,90.0977,91.8544,90.9676,30.3252
13,D9,UniqueMappingClustering,st5,74,0.35519732022723766,tpe,16,88.2353,96.1872,92.0398,47.1733
14,D9,UniqueMappingClustering,st5,98,0.3626005261408972,tpe,16,88.2353,96.1872,92.0398,62.7066
0,D9,ConnectedComponentsClustering,sdistilroberta,23,0.5573132422113427,tpe,16,91.5254,2.3397,4.5627,9.8443
1,D9,UniqueMappingClustering,st5,70,0.8759183069702524,tpe,16,95.9059,88.3016,91.9468,13.7668
2,D9,BestMatchClustering,sent_glove,55,0.09796940450982233,tpe,16,63.4738,69.1941,66.2106,16.0703
3,D9,KiralyMSMApproximateClustering,sent_glove,27,0.570206071017357,tpe,16,79.1214,66.3345,72.1659,13.9788
4,D9,KiralyMSMApproximateClustering,sent_glove,22,0.7181165624592646,tpe,16,86.6817,49.9133,63.3489,6.0144
5,D9,UniqueMappingClustering,sminilm,44,0.5243046510147403,tpe,16,87.0631,93.8908,90.3481,10.4249
6,D9,UniqueMappingClustering,sminilm,20,0.14051661315009667,tpe,16,86.1288,93.8908,89.8425,12.4368
7,D9,ConnectedComponentsClustering,sent_glove,46,0.7395230077261655,tpe,16,96.5458,24.2201,38.7253,16.9352
8,D9,KiralyMSMApproximateClustering,sent_glove,36,0.8930100289048913,tpe,16,96.875,9.4021,17.1406,7.7759
9,D9,KiralyMSMApproximateClustering,sdistilroberta,18,0.19649528379445302,tpe,16,89.8262,91.8111,90.8078,13.0729
10,D9,UniqueMappingClustering,st5,83,0.9433630976698483,tpe,16,98.3005,47.617,64.1565,15.5545
11,D9,BestMatchClustering,smpnet,3,0.29793362444719196,tpe,16,83.0414,90.3813,86.556,3.6128
12,D9,KiralyMSMApproximateClustering,sdistilroberta,72,0.3146127800606803,tpe,16,90.0977,91.8544,90.9676,30.3814
13,D9,UniqueMappingClustering,st5,74,0.35519732022723766,tpe,16,88.2353,96.1872,92.0398,46.8763
14,D9,UniqueMappingClustering,st5,98,0.3626005261408972,tpe,16,88.2353,96.1872,92.0398,62.3104
15,D9,UniqueMappingClustering,st5,99,0.3719063900050051,tpe,16,88.2353,96.1872,92.0398,62.6916
16,D9,UniqueMappingClustering,st5,99,0.402063186195049,tpe,16,88.2353,96.1872,92.0398,62.5473
17,D9,UniqueMappingClustering,st5,89,0.220789218538661,tpe,16,88.2353,96.1872,92.0398,56.4319
18,D9,UniqueMappingClustering,smpnet,64,0.4306512457636752,tpe,16,84.8509,92.461,88.4926,19.2126
19,D9,ConnectedComponentsClustering,st5,85,0.6639297408272906,tpe,16,0,0,0,29.8291
0,D9,ConnectedComponentsClustering,sdistilroberta,23,0.5573132422113427,tpe,16,91.5254,2.3397,4.5627,16.0886
1,D9,UniqueMappingClustering,st5,70,0.8759183069702524,tpe,16,95.9059,88.3016,91.9468,14.0602
