feature,importance
clustering_ConnectedComponentsClustering,1.3454752447225355
threshold,0.07357480218012462
lm_sminilm,0.008657321833268084
lm_smpnet,0.002521776939547715
clustering_UniqueMappingClustering,0.0013661346286769848
k,8.844147662152579e-05
AverageValueLength,0.0
lm_sent_glove,0.0
lm_sdistilroberta,0.0
lm_fasttext,0.0
MaxValuesPerEntity,0.0
AverageValueTokens,0.0
NumberOfMissingNVpairs,0.0
AverageDistinctValuesPerAttribute,0.0
AverageNVpairsPerAttribute,0.0
AverageDistinctValuesPerEntity,0.0
AverageNVPairsPerEntity,0.0
NumberOfNameValuePairs,0.0
NumberOfDistinctValues,0.0
NumberOfAttributes,0.0
InputEntityProfiles,0.0
lm_word2vec,0.0
clustering_KiralyMSMApproximateClustering,-0.004123082162774727
lm_st5,-0.06339824899247577
