TEST_SET, AUTOML_REGRESSOR, TEST_MSE, PREDICTED_F1, GLOBAL_BEST_F1, PERFORMANCE, PREDICTIONS_RUNTIME, OPTIMIZATION_TIME, LM, K, CLUSTERING, THRESHOLD
D1, 0.54*gradient_boosting + 0.36*random_forest + 0.1*gradient_boosting,319.4926,57.1429,78.4314,0.7286,61.9368,43218.6062, st5,1, KiralyMSMApproximateClustering,0.779
D10, 0.6*gradient_boosting + 0.36*random_forest + 0.04*gradient_boosting,794.0894,55.3979,56.117,0.9872,50.2222,43200.3256, st5,1, KiralyMSMApproximateClustering,0.1932
D2, 0.58*gradient_boosting + 0.32*random_forest + 0.1*gradient_boosting,304.1842,78.4878,85.8486,0.9143,36.7287,43197.9433, st5,8, KiralyMSMApproximateClustering,0.1311
D3, 0.62*gradient_boosting + 0.36*random_forest + 0.02*gradient_boosting,211.4789,57.4176,59.1887,0.9701,55.5973,43197.2472, st5,100, KiralyMSMApproximateClustering,0.3017
D4, 0.66*gradient_boosting + 0.32*random_forest + 0.02*gradient_boosting,2148.723,98.1761,98.6011,0.9957,69.0912,43201.8067, st5,21, KiralyMSMApproximateClustering,0.3019
D5, 0.58*gradient_boosting + 0.32*random_forest + 0.1*gradient_boosting,239.3281,68.9032,78.9235,0.873,74.6702,43196.6731, sminilm,37, KiralyMSMApproximateClustering,0.0622
D6, 0.34*random_forest + 0.32*gradient_boosting + 0.28*gradient_boosting + 0.06*gradient_boosting,394.0728,41.0,60.4225,0.6786,60.8154,43228.2408, st5,7, KiralyMSMApproximateClustering,0.6073
D7, 0.58*gradient_boosting + 0.36*random_forest + 0.06*gradient_boosting,266.1762,65.4746,67.76,0.9663,67.9615,43204.3003, sminilm,1, UniqueMappingClustering,0.6694
D8, 0.6*gradient_boosting + 0.38*random_forest + 0.02*gradient_boosting,579.8295,42.342,49.5337,0.8548,66.3313,43200.0982, st5,37, KiralyMSMApproximateClustering,0.8145
D9, 0.8*gradient_boosting + 0.2*gradient_boosting,940.4119,91.6553,94.9241,0.9656,63.7164,43195.2538, st5,27, KiralyMSMApproximateClustering,0.8788
