FEATURE,IMPORTANCE,STD,RANK,DATASET,TEST_SET,REGRESSOR
k,0.0018798711853077,4.825461443306626e-05,0,optuna,D10,AutoML
threshold,0.0069916292045969,8.848998916526513e-05,1,optuna,D10,AutoML
InputEntityProfiles,0.0,0.0,2,optuna,D10,AutoML
NumberOfAttributes,0.0,0.0,3,optuna,D10,AutoML
NumberOfDistinctValues,0.0,0.0,4,optuna,D10,AutoML
NumberOfNameValuePairs,0.0,0.0,5,optuna,D10,AutoML
AverageNVPairsPerEntity,0.0,0.0,6,optuna,D10,AutoML
AverageDistinctValuesPerEntity,0.0,0.0,7,optuna,D10,AutoML
AverageNVpairsPerAttribute,0.0,0.0,8,optuna,D10,AutoML
AverageDistinctValuesPerAttribute,0.0,0.0,9,optuna,D10,AutoML
NumberOfMissingNVpairs,0.0,0.0,10,optuna,D10,AutoML
AverageValueLength,0.0,0.0,11,optuna,D10,AutoML
AverageValueTokens,0.0,0.0,12,optuna,D10,AutoML
MaxValuesPerEntity,0.0,0.0,13,optuna,D10,AutoML
clustering_ConnectedComponentsClustering,0.0846250085701134,0.0009183629829753,14,optuna,D10,AutoML
clustering_KiralyMSMApproximateClustering,0.0017737121326831,4.165851472519018e-05,15,optuna,D10,AutoML
clustering_UniqueMappingClustering,4.002618992715589e-06,3.326585776079695e-05,16,optuna,D10,AutoML
lm_fasttext,0.0084746817326241,0.0003340513813267,17,optuna,D10,AutoML
lm_sdistilroberta,-2.701385451400196e-05,7.159495710314147e-06,18,optuna,D10,AutoML
lm_sent_glove,0.0020695695680396,5.449616184737057e-05,19,optuna,D10,AutoML
lm_sminilm,0.0003212451368986,3.391964175874014e-05,20,optuna,D10,AutoML
lm_smpnet,0.0001552110375468,4.663924056604964e-06,21,optuna,D10,AutoML
lm_st5,0.0088299080636669,5.776606035344488e-05,22,optuna,D10,AutoML
lm_word2vec,0.0010046427287188,2.4558534161421388e-05,23,optuna,D10,AutoML
k,0.0027839332297315,7.512579434952338e-05,0,optuna,D6,AutoML
threshold,0.029040445523289,0.0013054796312374,1,optuna,D6,AutoML
InputEntityProfiles,0.0,0.0,2,optuna,D6,AutoML
NumberOfAttributes,0.0,0.0,3,optuna,D6,AutoML
NumberOfDistinctValues,0.0,0.0,4,optuna,D6,AutoML
NumberOfNameValuePairs,0.0,0.0,5,optuna,D6,AutoML
AverageNVPairsPerEntity,0.0,0.0,6,optuna,D6,AutoML
AverageDistinctValuesPerEntity,0.0,0.0,7,optuna,D6,AutoML
AverageNVpairsPerAttribute,0.0,0.0,8,optuna,D6,AutoML
AverageDistinctValuesPerAttribute,0.0,0.0,9,optuna,D6,AutoML
NumberOfMissingNVpairs,0.0,0.0,10,optuna,D6,AutoML
AverageValueLength,0.0,0.0,11,optuna,D6,AutoML
AverageValueTokens,0.0,0.0,12,optuna,D6,AutoML
MaxValuesPerEntity,0.0,0.0,13,optuna,D6,AutoML
clustering_ConnectedComponentsClustering,0.0880329807871969,0.0022340371533931,14,optuna,D6,AutoML
clustering_KiralyMSMApproximateClustering,0.0020204855850905,0.000125250525504,15,optuna,D6,AutoML
clustering_UniqueMappingClustering,-0.0032800587296306,5.884556042833408e-05,16,optuna,D6,AutoML
lm_fasttext,0.0036688945550042,0.0001689432978066,17,optuna,D6,AutoML
lm_sdistilroberta,-0.0003176105039135,5.5619290463285786e-05,18,optuna,D6,AutoML
lm_sent_glove,0.0002393629940607,3.483608032102634e-05,19,optuna,D6,AutoML
lm_sminilm,0.0154298080755349,0.0001904924531315,20,optuna,D6,AutoML
lm_smpnet,-0.0003096563431168,2.6445292334444685e-05,21,optuna,D6,AutoML
lm_st5,0.0071725313265568,0.0005658264874285,22,optuna,D6,AutoML
lm_word2vec,0.0003924443152018,4.771934579754394e-05,23,optuna,D6,AutoML
k,0.0013143095923004,6.834139640898131e-05,0,optuna,D3,AutoML
threshold,0.0578787945342842,0.0008959462978962,1,optuna,D3,AutoML
InputEntityProfiles,0.0,0.0,2,optuna,D3,AutoML
NumberOfAttributes,0.0,0.0,3,optuna,D3,AutoML
NumberOfDistinctValues,0.0,0.0,4,optuna,D3,AutoML
NumberOfNameValuePairs,0.0,0.0,5,optuna,D3,AutoML
AverageNVPairsPerEntity,0.0,0.0,6,optuna,D3,AutoML
AverageDistinctValuesPerEntity,0.0,0.0,7,optuna,D3,AutoML
AverageNVpairsPerAttribute,0.0,0.0,8,optuna,D3,AutoML
AverageDistinctValuesPerAttribute,0.0,0.0,9,optuna,D3,AutoML
NumberOfMissingNVpairs,0.0,0.0,10,optuna,D3,AutoML
