feature,importance
clustering_ConnectedComponentsClustering,0.8965796239522337
lm_word2vec,0.41112211157243583
lm_st5,0.08869267208846451
lm_smpnet,0.07692221242583415
clustering_UniqueMappingClustering,0.03238689122666401
AverageValueLength,0.0
lm_sent_glove,0.0
lm_sdistilroberta,0.0
lm_fasttext,0.0
MaxValuesPerEntity,0.0
AverageValueTokens,0.0
NumberOfMissingNVpairs,0.0
AverageDistinctValuesPerAttribute,0.0
AverageNVpairsPerAttribute,0.0
AverageDistinctValuesPerEntity,0.0
AverageNVPairsPerEntity,0.0
NumberOfNameValuePairs,0.0
NumberOfDistinctValues,0.0
NumberOfAttributes,0.0
InputEntityProfiles,0.0
k,-8.28066578328901e-06
lm_sminilm,-0.009482004838841008
clustering_KiralyMSMApproximateClustering,-0.016366350185179714
threshold,-0.7233689540927439
