FEATURE,IMPORTANCE,DATASET,TEST_SET,REGRESSOR
clustering_ConnectedComponentsClustering,0.0847501633814132,OPTUNA,D10,AutoML
lm_st5,0.0088442822149831,OPTUNA,D10,AutoML
threshold,0.0078286385737248,OPTUNA,D10,AutoML
lm_fasttext,0.0077463144485031,OPTUNA,D10,AutoML
k,0.0023093660460618,OPTUNA,D10,AutoML
lm_sent_glove,0.0009938713766541,OPTUNA,D10,AutoML
lm_word2vec,0.0003873221006001,OPTUNA,D10,AutoML
lm_sdistilroberta,0.000176137120461,OPTUNA,D10,AutoML
clustering_KiralyMSMApproximateClustering,9.645877490322974e-05,OPTUNA,D10,AutoML
NumberOfNameValuePairs,0.0,OPTUNA,D10,AutoML
InputEntityProfiles,0.0,OPTUNA,D10,AutoML
NumberOfAttributes,0.0,OPTUNA,D10,AutoML
NumberOfDistinctValues,0.0,OPTUNA,D10,AutoML
AverageNVpairsPerAttribute,0.0,OPTUNA,D10,AutoML
AverageDistinctValuesPerEntity,0.0,OPTUNA,D10,AutoML
MaxValuesPerEntity,0.0,OPTUNA,D10,AutoML
AverageNVPairsPerEntity,0.0,OPTUNA,D10,AutoML
AverageValueLength,0.0,OPTUNA,D10,AutoML
NumberOfMissingNVpairs,0.0,OPTUNA,D10,AutoML
AverageDistinctValuesPerAttribute,0.0,OPTUNA,D10,AutoML
AverageValueTokens,0.0,OPTUNA,D10,AutoML
lm_smpnet,-4.0522783656404826e-07,OPTUNA,D10,AutoML
lm_sminilm,-0.0001044283519816,OPTUNA,D10,AutoML
clustering_UniqueMappingClustering,-0.0001713684069185,OPTUNA,D10,AutoML
threshold,0.0275426930397799,OPTUNA,D6,AutoML
clustering_ConnectedComponentsClustering,0.0088720008789468,OPTUNA,D6,AutoML
lm_sminilm,0.0075628551361493,OPTUNA,D6,AutoML
k,0.0033989769171173,OPTUNA,D6,AutoML
lm_st5,0.0018545145797379,OPTUNA,D6,AutoML
clustering_KiralyMSMApproximateClustering,0.000387484832975,OPTUNA,D6,AutoML
lm_smpnet,0.0002471717729346,OPTUNA,D6,AutoML
clustering_UniqueMappingClustering,0.0001514273878789,OPTUNA,D6,AutoML
AverageValueLength,0.0,OPTUNA,D6,AutoML
MaxValuesPerEntity,0.0,OPTUNA,D6,AutoML
AverageValueTokens,0.0,OPTUNA,D6,AutoML
NumberOfMissingNVpairs,0.0,OPTUNA,D6,AutoML
AverageDistinctValuesPerAttribute,0.0,OPTUNA,D6,AutoML
AverageNVpairsPerAttribute,0.0,OPTUNA,D6,AutoML
AverageDistinctValuesPerEntity,0.0,OPTUNA,D6,AutoML
