feature,importance
clustering_ConnectedComponentsClustering,0.46106663961805694
threshold,0.28020171367098096
lm_st5,0.18663936776383408
clustering_KiralyMSMApproximateClustering,0.003342238036217293
clustering_UniqueMappingClustering,0.00011550912605662322
k,7.798616726841789e-05
AverageValueLength,0.0
lm_sent_glove,0.0
lm_sdistilroberta,0.0
lm_fasttext,0.0
MaxValuesPerEntity,0.0
AverageValueTokens,0.0
NumberOfMissingNVpairs,0.0
AverageDistinctValuesPerAttribute,0.0
AverageNVpairsPerAttribute,0.0
AverageDistinctValuesPerEntity,0.0
AverageNVPairsPerEntity,0.0
NumberOfNameValuePairs,0.0
NumberOfDistinctValues,0.0
NumberOfAttributes,0.0
InputEntityProfiles,0.0
lm_word2vec,0.0
lm_sminilm,-0.025654980704824415
lm_smpnet,-0.0328287199073984
