TEST_SET, AUTOML_REGRESSOR, TEST_MSE, PREDICTED_F1, GLOBAL_BEST_F1, PERFORMANCE, PREDICTIONS_RUNTIME, OPTIMIZATION_TIME, LM, K, CLUSTERING, THRESHOLD
D1, 0.74*extra_trees + 0.18*random_forest + 0.04*k_nearest_neighbors + 0.02*gradient_boosting + 0.02*adaboost,444.348,57.1429,78.4314,0.7286,55.9394,43201.3939, st5,1, KiralyMSMApproximateClustering,0.779
D10, 0.94*extra_trees + 0.02*random_forest + 0.02*gradient_boosting + 0.02*ard_regression,802.9557,55.3979,56.117,0.9872,28.4424,43236.6576, st5,1, UniqueMappingClustering,0.0853
D2, 0.92*extra_trees + 0.02*extra_trees + 0.02*gradient_boosting + 0.02*k_nearest_neighbors + 0.02*adaboost,337.4461,78.6325,85.8486,0.9159,60.6276,43205.8106, st5,12, KiralyMSMApproximateClustering,0.1117
D3, 0.82*extra_trees + 0.08*extra_trees + 0.06*gradient_boosting + 0.02*extra_trees + 0.02*k_nearest_neighbors,238.7432,57.4176,59.1887,0.9701,73.2937,43209.6093, st5,100, KiralyMSMApproximateClustering,0.3209
D4, 0.74*extra_trees + 0.22*random_forest + 0.02*gradient_boosting + 0.02*ard_regression,1938.3059,98.1761,98.6011,0.9957,40.3322,43238.1494, st5,21, KiralyMSMApproximateClustering,0.3019
D5, 0.74*extra_trees + 0.1*k_nearest_neighbors + 0.06*random_forest + 0.04*random_forest + 0.04*gradient_boosting + 0.02*k_nearest_neighbors,278.9575,62.8471,78.9235,0.7963,95.4209,43212.5706, sdistilroberta,32, KiralyMSMApproximateClustering,0.05
D6, 0.86*extra_trees + 0.04*extra_trees + 0.04*gradient_boosting + 0.04*k_nearest_neighbors + 0.02*ard_regression,427.5353,51.1573,60.4225,0.8467,56.0087,43211.8789, sminilm,1, UniqueMappingClustering,0.2
D7, 0.88*extra_trees + 0.04*random_forest + 0.02*gradient_boosting + 0.02*k_nearest_neighbors + 0.02*gradient_boosting + 0.02*k_nearest_neighbors,269.0321,65.3846,67.76,0.9649,197.5819,43213.823, st5,1, KiralyMSMApproximateClustering,0.8292
D8, 0.9*extra_trees + 0.02*gradient_boosting + 0.02*adaboost + 0.02*k_nearest_neighbors + 0.02*random_forest + 0.02*random_forest,791.6615,47.0485,49.5337,0.9498,62.4086,43213.0313, st5,1, UniqueMappingClustering,0.896
D9, 0.86*extra_trees + 0.1*random_forest + 0.04*gradient_boosting,1011.2043,94.3887,94.9241,0.9944,25.2851,43240.4427, st5,21, KiralyMSMApproximateClustering,0.3019
