Feature,Importance,Std,Rank
k,-4.589602077165189e-05,5.671811011880806e-06,0
threshold,0.038119809874936704,0.0020546183996114496,1
InputEntityProfiles,0.0,0.0,2
NumberOfAttributes,0.0,0.0,3
NumberOfDistinctValues,0.0,0.0,4
NumberOfNameValuePairs,0.0,0.0,5
AverageNVPairsPerEntity,0.0,0.0,6
AverageDistinctValuesPerEntity,0.0,0.0,7
AverageNVpairsPerAttribute,0.0,0.0,8
AverageDistinctValuesPerAttribute,0.0,0.0,9
NumberOfMissingNVpairs,0.0,0.0,10
AverageValueLength,0.0,0.0,11
AverageValueTokens,0.0,0.0,12
MaxValuesPerEntity,0.0,0.0,13
clustering_ConnectedComponentsClustering,0.12713386826284473,0.001367590533765331,14
clustering_KiralyMSMApproximateClustering,0.0006601485328450396,1.7226466594350136e-05,15
clustering_UniqueMappingClustering,-0.00036977003041764877,8.540367769833925e-05,16
lm_fasttext,-5.0448957580173645e-05,6.635014878590862e-06,17
lm_sdistilroberta,-0.00010394598812557554,4.284997101667931e-06,18
lm_sent_glove,4.3739544623133676e-05,8.408732775634e-06,19
lm_sminilm,-0.07563228726424118,0.000877337794912808,20
lm_smpnet,-0.07769905819710461,0.00078056774745864,21
lm_st5,0.047672198126950095,0.0015220424483947035,22
lm_word2vec,3.139890511001386e-05,1.4169899132802138e-06,23
