Feature,Importance,Std,Rank
k,-0.00012174421457560314,1.6059761384347866e-05,0
threshold,0.07902055731430328,0.002029921682907884,1
InputEntityProfiles,0.0,0.0,2
NumberOfAttributes,0.0,0.0,3
NumberOfDistinctValues,0.0,0.0,4
NumberOfNameValuePairs,0.0,0.0,5
AverageNVPairsPerEntity,0.0,0.0,6
AverageDistinctValuesPerEntity,0.0,0.0,7
AverageNVpairsPerAttribute,0.0,0.0,8
AverageDistinctValuesPerAttribute,0.0,0.0,9
NumberOfMissingNVpairs,0.0,0.0,10
AverageValueLength,0.0,0.0,11
AverageValueTokens,0.0,0.0,12
MaxValuesPerEntity,0.0,0.0,13
clustering_ConnectedComponentsClustering,0.17603645240416116,0.004828682591424291,14
clustering_KiralyMSMApproximateClustering,-0.00013747817847904465,6.549802671262663e-05,15
clustering_UniqueMappingClustering,-9.449656801572282e-05,3.801808655386923e-05,16
lm_fasttext,0.011296482957804832,0.00026573339963234375,17
lm_sdistilroberta,-0.00032962845425337227,8.228909384241836e-05,18
lm_sent_glove,0.0014041157262568494,4.6741818841687806e-05,19
lm_sminilm,0.0014292943307011364,9.478385103401847e-05,20
lm_smpnet,-0.0009556114316279895,2.265801217027113e-05,21
lm_st5,0.005682778136112621,0.002088194810436355,22
lm_word2vec,-0.001225215665519208,0.00010550451167237969,23
