Feature,Importance,Std,Rank
k,0.00019270040235943586,7.807428905394162e-06,0
threshold,0.10814979283661352,0.0021897196440487854,1
clustering_ConnectedComponentsClustering,0.508785230293834,0.005136903090865593,2
clustering_KiralyMSMApproximateClustering,0.032605115160005735,0.000638783214953789,3
clustering_UniqueMappingClustering,0.003352298186717395,0.0002804264442798807,4
lm_fasttext,0.0015836770618352536,4.677736017789182e-05,5
lm_sdistilroberta,3.108723929593493e-05,4.9385242093667815e-05,6
lm_sent_glove,-0.03222613636190195,0.000976668484845887,7
lm_sminilm,0.022980630862451855,0.000664989699646441,8
lm_smpnet,0.0003942861217192006,1.3574479623044196e-05,9
lm_st5,-0.0001783982249983107,1.766674016698235e-05,10
lm_word2vec,0.00021267085097286252,1.0914243958086514e-05,11
