Feature,Importance,Std,Rank
k,-0.023985199056187557,0.0007487446948852695,0
threshold,-0.0025003690090867224,0.001288010672247624,1
clustering_ConnectedComponentsClustering,0.3040844841369332,0.004439514677815718,2
clustering_KiralyMSMApproximateClustering,0.008753317646378623,0.00031839880640807515,3
clustering_UniqueMappingClustering,0.0019411081436424005,0.0001321989229643942,4
lm_fasttext,0.050221429683947584,0.0005506493982512916,5
lm_sdistilroberta,-0.0015849005658393534,6.589708023905825e-05,6
lm_sent_glove,0.003585133085143999,0.0003727699104137626,7
lm_sminilm,0.007985959207636405,0.0002508202871539214,8
lm_smpnet,0.0028508500076962263,0.0002554468569650561,9
lm_st5,0.003315095704579629,0.0006319376299010639,10
lm_word2vec,0.014243223959115559,0.0004599617091945733,11
