TEST_SET,DATASET,REGRESSOR,VALIDATION_MSE,TEST_MSE,PREDICTED_F1,GLOBAL_BEST_F1,PERFORMANCE,OPTIMIZATION_TIME,BEST_REGRESSOR_FIT_TIME,BEST_REGRESSOR_PREDICTION_TIME
D1,all,automl_gradient_boosting,,415.3952,56.7742,77.0833,0.7365,10795.3808,,0.6691
D2,all,automl_gradient_boosting,,658.1883,33.5968,85.8486,0.3913,10797.1253,,0.6157
D3,all,automl_gradient_boosting,,301.4862,58.5045,59.0871,0.9901,10834.6047,,0.5711
D4,all,automl_gradient_boosting,,1758.9965,97.5303,98.5122,0.99,10798.6785,,0.6532
D5,all,automl_gradient_boosting,,478.0292,75.8014,78.2517,0.9687,10805.1743,,0.6253
D6,all,automl_gradient_boosting,,291.7079,35.4722,60.2534,0.5887,10985.6344,,0.6762
D7,all,automl_gradient_boosting,,322.9631,57.5722,67.7308,0.85,10802.9346,,0.6023
D8,all,automl_gradient_boosting,,2778.2472,38.0861,48.5417,0.7846,10807.6687,,0.5973
D9,all,automl_gradient_boosting,,2363.7483,94.3686,94.9211,0.9942,10853.7492,,0.6171
D10,all,automl_gradient_boosting,,1059.033,5.6337,56.117,0.1004,10810.9654,,0.554
D1,optuna,automl_extra_trees,,268.2213,54.4892,77.0833,0.7069,10807.2639,,0.2555
D2,optuna,automl_extra_trees,,424.9515,81.9401,85.8486,0.9545,10832.9714,,0.2806
D3,optuna,automl_extra_trees,,212.8962,57.1667,59.0871,0.9675,10850.2284,,0.424
D4,optuna,automl_gradient_boosting,,2515.9887,97.4893,98.5122,0.9896,10824.1753,,0.2889
D5,optuna,automl_extra_trees,,338.8932,77.3673,78.2517,0.9887,10871.2538,,0.3917
D6,optuna,automl_extra_trees,,428.8079,50.2077,60.2534,0.8333,10843.3462,,0.2923
D7,optuna,automl_gradient_boosting,,292.0679,58.0684,67.7308,0.8573,10911.3914,,0.2123
D8,optuna,automl_extra_trees,,1064.9043,38.0861,48.5417,0.7846,10809.4946,,0.2484
D9,optuna,automl_extra_trees,,2009.484,94.3284,94.9211,0.9938,10814.9834,,0.4378
D10,optuna,automl_gradient_boosting,,931.6515,22.8577,56.117,0.4073,10886.6394,,0.3177
D1,gridsearch,automl_gradient_boosting,,517.8951,56.7742,77.0833,0.7365,10808.9914,,0.5339
D2,gridsearch,automl_gradient_boosting,,634.6196,50.3754,85.8486,0.5868,10803.1378,,0.6352
D3,gridsearch,automl_gradient_boosting,,318.2718,57.3535,59.0871,0.9707,10812.6794,,0.3504
D4,gridsearch,automl_gradient_boosting,,1613.1384,97.2937,98.5122,0.9876,10808.508,,0.7987
D5,gridsearch,automl_gradient_boosting,,449.729,76.6224,78.2517,0.9792,10851.6868,,0.4144
D6,gridsearch,automl_gradient_boosting,,208.3133,49.14,60.2534,0.8156,10815.166,,0.4636
D7,gridsearch,automl_gradient_boosting,,256.2994,57.5722,67.7308,0.85,10845.5653,,0.5561
D8,gridsearch,automl_gradient_boosting,,2615.4057,36.0092,48.5417,0.7418,10851.447,,0.4912
D9,gridsearch,automl_gradient_boosting,,2578.2474,94.3485,94.9211,0.994,10905.7625,,0.453
D10,gridsearch,automl_gradient_boosting,,1104.646,23.2299,56.117,0.414,10895.4942,,0.3897
