TEST_SET, DATASET, REGRESSOR, VALIDATION_MSE, TEST_MSE, PREDICTED_F1, GLOBAL_BEST_F1, PERFORMANCE, OPTIMIZATION_TIME, BEST_REGRESSOR_FIT_TIME, BEST_REGRESSOR_PREDICTION_TIME
D1, all, NN, 2.7606, 653.4249, 55.6962, 78.4314, 0.7101, 15709.8282, 389.8928, 0.4791
D2, all, NN, 2.0462, 972.3719, 81.9401, 85.8486, 0.9545, 15005.017, 446.1039, 0.4749
D3, all, NN, 3.0753, 1509.4387, 14.8355, 59.0381, 0.2513, 13929.867, 222.7865, 0.4769
D4, all, NN, 1.7438, 2880.3257, 98.1098, 98.6011, 0.995, 16165.7674, 427.456, 0.388
D5, all, NN, 1.8589, 407.3504, 52.1645, 78.9235, 0.661, 15977.7526, 408.8807, 0.4104
D6, all, NN, 2.6046, 841.8309, 51.0745, 60.4225, 0.8453, 14635.9388, 416.7894, 0.4021
D7, all, NN, 2.3293, 460.1944, 53.1377, 67.76, 0.7842, 12666.0274, 317.5292, 0.331
D8, all, NN, 2.4718, 1719.313, 38.1133, 49.5337, 0.7694, 14215.9355, 286.4264, 0.3164
D9, all, NN, 1.8963, 3740.3923, 91.1121, 94.9241, 0.9598, 15969.5626, 417.2474, 0.3337
D10, all, NN, 2.4655, 1092.6707, 28.3021, 56.1133, 0.5044, 14817.3337, 353.8478, 0.3334
