TEST_SET, DATASET, REGRESSOR, VALIDATION_MSE, TEST_MSE, PREDICTED_F1, GLOBAL_BEST_F1, PERFORMANCE, OPTIMIZATION_TIME, BEST_REGRESSOR_FIT_TIME, BEST_REGRESSOR_PREDICTION_TIME
D1, gridsearch, NN, 2.5024, 445.0529, 14.9533, 77.0833, 0.194, 4096.0844, 94.957, 0.0883
D2, gridsearch, NN, 3.0287, 478.4811, 70.5331, 85.8486, 0.8216, 3970.0176, 111.1177, 0.0935
D3, gridsearch, NN, 35.7076, 249.5132, 52.9316, 59.0871, 0.8958, 4030.3598, 90.062, 0.0894
D4, gridsearch, NN, 2.7652, 2471.2222, 97.5742, 98.5122, 0.9905, 3052.0979, 118.007, 0.0901
D5, gridsearch, NN, 3.053, 527.4706, 52.5105, 78.2517, 0.671, 3873.5511, 116.5247, 0.0919
D6, gridsearch, NN, 3.4654, 539.7878, 22.276, 60.2534, 0.3697, 3086.7195, 56.8624, 0.0894
D7, gridsearch, NN, 2.5373, 405.4601, 57.3189, 67.7308, 0.8463, 3004.7785, 90.1053, 0.0921
D8, gridsearch, NN, 2.7605, 2635.4816, 37.2755, 48.5417, 0.7679, 4029.0362, 106.983, 0.0881
D9, gridsearch, NN, 2.6764, 3103.8325, 88.6123, 94.9211, 0.9335, 3636.5822, 94.6806, 0.0929
D10, gridsearch, NN, 3.0588, 683.1649, 56.1133, 56.117, 0.9999, 3384.3442, 100.7804, 0.097
