TEST_SET, DATASET, REGRESSOR, VALIDATION_MSE, TEST_MSE, PREDICTED_F1, GLOBAL_BEST_F1, PERFORMANCE, OPTIMIZATION_TIME, BEST_REGRESSOR_FIT_TIME, BEST_REGRESSOR_PREDICTION_TIME
D1, optuna, NN, 2.2843, 673.3898, 54.8287, 77.0833, 0.7113, 1913.1566, 52.0396, 0.0403
D2, optuna, NN, 3.268, 622.2104, 85.7813, 85.8486, 0.9992, 1661.278, 38.4008, 0.0422
D3, optuna, NN, 2.2731, 1465.1599, 57.7832, 59.0871, 0.9779, 1812.4902, 54.2702, 0.0421
D4, optuna, NN, 2.3466, 2119.1541, 98.3769, 98.5122, 0.9986, 1993.2178, 46.8042, 0.0423
D5, optuna, NN, 2.6056, 451.7998, 70.5331, 78.2517, 0.9014, 1932.1066, 52.5151, 0.0419
D6, optuna, NN, 2.7012, 474.9002, 32.5301, 60.2534, 0.5399, 1700.9862, 40.5857, 0.0446
D7, optuna, NN, 3.4765, 505.5668, 63.6813, 67.7308, 0.9402, 1884.0386, 52.5906, 0.0443
D8, optuna, NN, 2.7406, 2063.9398, 35.5647, 48.5417, 0.7327, 1760.55, 51.5308, 0.0417
D9, optuna, NN, 1.8565, 3924.1285, 82.0526, 94.9211, 0.8644, 1911.0176, 51.5371, 0.0436
D10, optuna, NN, 2.334, 5845.6966, 30.4327, 56.117, 0.5423, 1815.2152, 52.5908, 0.0428
