TEST_SET, DATASET, REGRESSOR, VALIDATION_MSE, TEST_MSE, PREDICTED_F1, GLOBAL_BEST_F1, PERFORMANCE, OPTIMIZATION_TIME, BEST_REGRESSOR_FIT_TIME, BEST_REGRESSOR_PREDICTION_TIME, LM, K, CLUSTERING, THRESHOLD
D1, all, RandomForestRegressor, 511.3599158947881, 303.8170825019429, 57.7049, 78.4314, 0.7357, 3153.626233816147, 65.56799626350403, 0.8015491962432861, st5, 17, KiralyMSMApproximateClustering, 0.8743226840278511
D2, all, RandomForestRegressor, 509.61587542815903, 344.5684768570056, 81.8792, 85.8486, 0.9538, 3496.460916996002, 85.85542488098145, 1.0416994094848633, st5, 1, KiralyMSMApproximateClustering, 0.6953674234653642
D3, all, RandomForestRegressor, 519.2850120329073, 213.750755060132, 57.7127, 59.1887, 0.9751, 2658.279117822647, 66.30052185058594, 0.8138659000396729, st5, 100, UniqueMappingClustering, 0.1482038713919421
D4, all, RandomForestRegressor, 331.74857379224113, 2156.063799460202, 98.3311, 98.6011, 0.9973, 3836.4484140872955, 90.10681819915771, 1.2461495399475098, st5, 100, KiralyMSMApproximateClustering, 0.8160718062460619
D5, all, RandomForestRegressor, 517.8960352966383, 237.25935929327085, 75.733, 78.9235, 0.9596, 2972.177060365677, 81.23649263381958, 1.353297233581543, st5, 1, KiralyMSMApproximateClustering, 0.714829939684642
D6, all, RandomForestRegressor, 501.9077052479844, 393.90629439365244, 56.7892, 60.4225, 0.9399, 2949.5103969573975, 102.62302303314209, 1.275425672531128, smpnet, 1, KiralyMSMApproximateClustering, 0.5021882849120562
D7, all, RandomForestRegressor, 515.6863329106675, 267.705727003101, 65.3846, 67.76, 0.9649, 3215.793855190277, 88.80313372612, 0.9342718124389648, st5, 1, KiralyMSMApproximateClustering, 0.8292461192210443
D8, all, RandomForestRegressor, 486.53506002583964, 543.4762142814304, 47.0485, 49.5337, 0.9498, 4133.7624933719635, 63.97436475753784, 0.5783271789550781, st5, 1, UniqueMappingClustering, 0.8959570521076154
D9, all, RandomForestRegressor, 450.29668178155237, 992.5363879726883, 91.6553, 94.9241, 0.9656, 2628.478030204773, 86.65357422828674, 0.830263614654541, st5, 27, KiralyMSMApproximateClustering, 0.8787722113821267
D10, all, RandomForestRegressor, 464.7015651798302, 741.441712303078, 55.3979, 56.117, 0.9872, 3224.4509620666504, 105.49857974052429, 1.107485294342041, st5, 1, KiralyMSMApproximateClustering, 0.1765053908757876
