TEST_SET, DATASET, REGRESSOR, VALIDATION_MSE, TEST_MSE, PREDICTED_F1, GLOBAL_BEST_F1, PERFORMANCE, OPTIMIZATION_TIME, BEST_REGRESSOR_FIT_TIME, BEST_REGRESSOR_PREDICTION_TIME, LM, K, CLUSTERING, THRESHOLD
D1, gridsearch, RandomForestRegressor, 543.6458626403629, 235.4903323773507, 55.873, 78.4314, 0.7124, 1158.1467370986938, 9.74265742301941, 0.18817377090454102, st5, 86, KiralyMSMApproximateClustering, 0.7500000000000001
D2, gridsearch, RandomForestRegressor, 538.7408001369054, 314.51089217209216, 78.1955, 85.8486, 0.9109, 1318.479911327362, 16.58462119102478, 0.331817626953125, st5, 99, KiralyMSMApproximateClustering, 0.7500000000000001
D3, gridsearch, RandomForestRegressor, 560.6238834450543, 220.20323472576814, 56.7164, 59.1887, 0.9582, 1620.5064494609833, 25.42432188987732, 0.5087411403656006, st5, 96, KiralyMSMApproximateClustering, 0.7500000000000001
D4, gridsearch, RandomForestRegressor, 340.4123581301261, 2297.6389651085337, 98.1982, 98.6011, 0.9959, 1450.7946412563324, 15.000088214874268, 0.3157012462615967, st5, 99, KiralyMSMApproximateClustering, 0.7500000000000001
D5, gridsearch, RandomForestRegressor, 544.4036085509563, 246.69860664179978, 72.8713, 78.9235, 0.9233, 1784.5709581375122, 71.60682010650635, 1.4788970947265625, st5, 90, KiralyMSMApproximateClustering, 0.7000000000000001
D6, gridsearch, RandomForestRegressor, 530.0616633542243, 383.11057447933933, 49.2424, 60.4225, 0.815, 1574.4779908657074, 27.497759342193604, 0.38274335861206055, st5, 5, KiralyMSMApproximateClustering, 0.7500000000000001
D7, gridsearch, RandomForestRegressor, 542.4567455838634, 267.6859087243706, 46.0523, 67.76, 0.6796, 2146.176647901535, 66.19005036354065, 1.0205578804016113, st5, 100, KiralyMSMApproximateClustering, 0.6000000000000001
D8, gridsearch, RandomForestRegressor, 516.5517331247662, 497.4741734205131, 38.2457, 49.5337, 0.7721, 1418.4677093029022, 40.880876541137695, 0.585482120513916, st5, 1, KiralyMSMApproximateClustering, 0.7000000000000001
D9, gridsearch, RandomForestRegressor, 471.85543430287584, 1017.7204265243494, 94.5097, 94.9241, 0.9956, 1283.3343160152435, 31.887398719787598, 0.49720001220703125, st5, 96, KiralyMSMApproximateClustering, 0.7500000000000001
D10, gridsearch, RandomForestRegressor, 487.31344359978874, 755.5600455984043, 41.5148, 56.117, 0.7398, 1594.7380347251892, 52.09990191459656, 0.7942526340484619, st5, 1, KiralyMSMApproximateClustering, 0.7500000000000001
