Feature,Importance,Std,Rank
k,0.0007377076949614758,6.203640498601475e-05,0
threshold,0.022255921356359877,0.0002576534574416409,1
clustering_KiralyMSMApproximateClustering,0.2514907201310334,0.0029185913359828933,2
clustering_UniqueMappingClustering,0.36733782288002337,0.0024305918365296014,3
lm_sdistilroberta,0.13485958267871406,0.0012645084062613337,4
lm_sent_glove,-0.009987649964834389,0.0006255205171760351,5
lm_sminilm,0.22511873198708438,0.0016628565283514293,6
lm_smpnet,0.15563961863820758,0.0016536627538042792,7
lm_st5,0.49859611946798077,0.0036487394690368565,8
lm_word2vec,0.0035806680032150484,0.0006627147435029534,9
