Feature,Importance,Std,Rank
k,-0.022081383395571218,0.0018936416571685762,0
threshold,-0.25903624421955523,0.0030336776257705667,1
clustering_KiralyMSMApproximateClustering,0.49483213295703654,0.012491569133892624,2
clustering_UniqueMappingClustering,0.17581287501395307,0.008447378834042844,3
lm_sdistilroberta,0.4277159459672559,0.012229510079924422,4
lm_sent_glove,0.8373821575680147,0.009440514153140372,5
lm_sminilm,1.2225608131621541,0.020482368251299492,6
lm_smpnet,1.0734597490984252,0.014447039596267681,7
lm_st5,1.415624790606807,0.0254866451109217,8
lm_word2vec,0.19676742094720173,0.0051611155051691565,9
