TEST_SET, DATASET, REGRESSOR, VALIDATION_MSE, TEST_MSE, PREDICTED_F1, GLOBAL_BEST_F1, PERFORMANCE, OPTIMIZATION_TIME, BEST_REGRESSOR_FIT_TIME, BEST_REGRESSOR_PREDICTION_TIME, LM, K, CLUSTERING, THRESHOLD
D1, optuna, LinearRegression, 544.4438, 547.9948, 55.3459, 78.4314, 0.7057, 0.0523, 0.0223, 0.0011, st5, 1, KiralyMSMApproximateClustering, 0.05
D2, optuna, LinearRegression, 552.8827, 419.6181, 81.9401, 85.8486, 0.9545, 0.0495, 0.0216, 0.0011, st5, 1, KiralyMSMApproximateClustering, 0.05
D3, optuna, LinearRegression, 571.387, 245.9041, 55.9823, 59.1887, 0.9458, 0.1048, 0.0218, 0.0011, st5, 1, KiralyMSMApproximateClustering, 0.05
D4, optuna, LinearRegression, 397.4193, 1995.318, 98.1761, 98.6011, 0.9957, 0.0476, 0.0215, 0.0012, st5, 100, KiralyMSMApproximateClustering, 0.05
D5, optuna, LinearRegression, 569.5459, 263.5872, 69.3934, 78.9235, 0.8792, 0.0472, 0.021, 0.0011, st5, 1, KiralyMSMApproximateClustering, 0.05
D6, optuna, LinearRegression, 551.2743, 439.1771, 43.8459, 60.4225, 0.7257, 0.0493, 0.0213, 0.0011, st5, 1, KiralyMSMApproximateClustering, 0.05
D7, optuna, LinearRegression, 566.5076, 281.4961, 48.4848, 67.76, 0.7155, 0.0467, 0.0212, 0.0011, st5, 1, KiralyMSMApproximateClustering, 0.05
D8, optuna, LinearRegression, 531.8614, 652.0668, 38.0861, 49.5337, 0.7689, 0.046, 0.0211, 0.0011, st5, 1, KiralyMSMApproximateClustering, 0.05
D9, optuna, LinearRegression, 504.4922, 897.8795, 92.8452, 94.9241, 0.9781, 0.0502, 0.021, 0.0011, st5, 1, KiralyMSMApproximateClustering, 0.05
D10, optuna, LinearRegression, 518.4466, 743.4674, 55.3979, 56.117, 0.9872, 0.0466, 0.0211, 0.0011, st5, 1, KiralyMSMApproximateClustering, 0.05
