TEST_SET, DATASET, REGRESSOR, VALIDATION_MSE, TEST_MSE, PREDICTED_F1, GLOBAL_BEST_F1, PERFORMANCE, OPTIMIZATION_TIME, BEST_REGRESSOR_FIT_TIME, BEST_REGRESSOR_PREDICTION_TIME, LM, K, CLUSTERING, THRESHOLD
D1, optuna, RandomForestRegressor, 447.96997976393357, 393.8431429548737, 10.0, 78.4314, 0.1275, 1141.2008061408997, 25.09790802001953, 0.2544581890106201, word2vec, 1, ConnectedComponentsClustering, 0.05
D2, optuna, RandomForestRegressor, 451.11127597114165, 357.2913553315275, 78.6325, 85.8486, 0.9159, 1097.264675617218, 27.845093727111816, 0.28458285331726074, st5, 12, KiralyMSMApproximateClustering, 0.1116888525292676
D3, optuna, RandomForestRegressor, 459.6392914830257, 208.00158341041467, 56.1687, 59.1887, 0.949, 1127.098842382431, 28.73692536354065, 0.30354905128479004, st5, 1, KiralyMSMApproximateClustering, 0.7204566026393792
D4, optuna, RandomForestRegressor, 301.58301064873314, 1919.3148601947266, 97.5556, 98.6011, 0.9894, 1129.5351662635803, 42.46401572227478, 0.4331626892089844, st5, 10, UniqueMappingClustering, 0.1249843586461435
D5, optuna, RandomForestRegressor, 459.3053958267931, 228.40300125327963, 68.9032, 78.9235, 0.873, 838.408055305481, 13.10114049911499, 0.13877344131469727, sminilm, 37, KiralyMSMApproximateClustering, 0.0621617998517821
D6, optuna, RandomForestRegressor, 439.505056203858, 398.5064180334689, 44.6445, 60.4225, 0.7389, 1182.07985830307, 39.37965178489685, 0.4061722755432129, st5, 34, KiralyMSMApproximateClustering, 0.05
D7, optuna, RandomForestRegressor, 456.0792503507734, 234.78413692827675, 65.3846, 67.76, 0.9649, 1105.5376093387604, 30.002211809158325, 0.31932735443115234, st5, 1, KiralyMSMApproximateClustering, 0.8292461192210443
D8, optuna, RandomForestRegressor, 419.79181499597416, 662.4249308917449, 42.342, 49.5337, 0.8548, 1078.5540254116058, 27.730081796646118, 0.2792179584503174, st5, 31, KiralyMSMApproximateClustering, 0.8147191103484894
D9, optuna, RandomForestRegressor, 394.04453107346916, 950.6740678932523, 94.4089, 94.9241, 0.9946, 1088.0406110286713, 26.718817234039307, 0.2744019031524658, st5, 18, KiralyMSMApproximateClustering, 0.1739228646611409
D10, optuna, RandomForestRegressor, 406.26677693012545, 735.4882114138793, 55.3442, 56.117, 0.9862, 1012.6710078716278, 22.68221092224121, 0.24007463455200195, st5, 10, KiralyMSMApproximateClustering, 0.0741374358787617
