lm,clustering,k,threshold,Predicted,True
st5,KiralyMSMApproximateClustering,86,0.7500000000000001,65.69818230146956,55.873
st5,KiralyMSMApproximateClustering,85,0.7500000000000001,65.68382664738569,55.873
st5,KiralyMSMApproximateClustering,11,0.7500000000000001,65.59852151909598,55.873
st5,KiralyMSMApproximateClustering,92,0.7500000000000001,65.57363695891226,55.873
st5,KiralyMSMApproximateClustering,94,0.7000000000000001,65.56136395596234,55.6962
st5,KiralyMSMApproximateClustering,95,0.7000000000000001,65.55594015645244,55.6962
st5,KiralyMSMApproximateClustering,76,0.7500000000000001,65.5376624603178,55.873
st5,KiralyMSMApproximateClustering,93,0.7500000000000001,65.52825240636705,55.873
st5,KiralyMSMApproximateClustering,82,0.7500000000000001,65.5232048839025,55.873
st5,KiralyMSMApproximateClustering,80,0.7500000000000001,65.52291913549222,55.873
st5,KiralyMSMApproximateClustering,11,0.7000000000000001,65.5174802058392,55.873
st5,KiralyMSMApproximateClustering,90,0.7500000000000001,65.51036789297994,55.873
st5,KiralyMSMApproximateClustering,12,0.7500000000000001,65.50804966439973,55.873
st5,KiralyMSMApproximateClustering,38,0.7000000000000001,65.50241597415082,55.6962
st5,KiralyMSMApproximateClustering,91,0.7500000000000001,65.5021269776011,55.873
st5,KiralyMSMApproximateClustering,95,0.7500000000000001,65.49848610589447,55.873
st5,KiralyMSMApproximateClustering,77,0.7500000000000001,65.49707071918219,55.873
st5,KiralyMSMApproximateClustering,21,0.7500000000000001,65.49567548236158,55.873
st5,KiralyMSMApproximateClustering,78,0.7500000000000001,65.49423994380992,55.873
st5,KiralyMSMApproximateClustering,87,0.7500000000000001,65.4898552658021,55.873
