lm,clustering,k,threshold,Predicted,True
st5,KiralyMSMApproximateClustering,34,0.05,83.09244077436944,44.6445
st5,KiralyMSMApproximateClustering,34,0.05,83.09244077436944,44.6445
st5,KiralyMSMApproximateClustering,34,0.05,83.09244077436944,44.6445
st5,KiralyMSMApproximateClustering,34,0.05,83.09244077436944,44.6445
st5,KiralyMSMApproximateClustering,34,0.05,83.09244077436944,44.6445
st5,KiralyMSMApproximateClustering,34,0.05,83.09244077436944,44.6445
st5,KiralyMSMApproximateClustering,34,0.05,83.09244077436944,44.6445
st5,KiralyMSMApproximateClustering,34,0.05,83.09244077436944,44.6445
st5,KiralyMSMApproximateClustering,34,0.05,83.09244077436944,44.6445
st5,KiralyMSMApproximateClustering,34,0.05,83.09244077436944,44.6445
st5,KiralyMSMApproximateClustering,34,0.05,83.09244077436944,44.6445
st5,KiralyMSMApproximateClustering,34,0.05,83.09244077436944,44.6445
st5,KiralyMSMApproximateClustering,34,0.05,83.09244077436944,44.6445
st5,KiralyMSMApproximateClustering,34,0.05,83.09244077436944,44.6445
st5,KiralyMSMApproximateClustering,34,0.05,83.09244077436944,44.6445
st5,KiralyMSMApproximateClustering,34,0.05,83.09244077436944,44.6445
st5,KiralyMSMApproximateClustering,34,0.05,83.09244077436944,44.6445
sminilm,KiralyMSMApproximateClustering,53,0.05,81.79205012373578,49.2799
sminilm,KiralyMSMApproximateClustering,53,0.05,81.79205012373578,49.2799
sminilm,KiralyMSMApproximateClustering,53,0.05,81.79205012373578,49.2799
