TEST_SET, DATASET, REGRESSOR, VALIDATION_MSE, TEST_MSE, PREDICTED_F1, GLOBAL_BEST_F1, PERFORMANCE, OPTIMIZATION_TIME, BEST_REGRESSOR_FIT_TIME, BEST_REGRESSOR_PREDICTION_TIME
D1, all, Lasso, 238.2558, 820.5388, 54.6584, 77.0833, 0.7091, 66.0058, 1.1253, 0.0067
D2, all, Lasso, 223.3066, 2018.1901, 38.4331, 85.8486, 0.4477, 64.3336, 1.3332, 0.008
D3, all, Lasso, 235.7231, 80367.6012, 28.3718, 59.0871, 0.4802, 81.856, 2.0027, 0.0073
D4, all, Lasso, 220.7869, 3242.3616, 98.1753, 98.5122, 0.9966, 67.4687, 1.2044, 0.007
D5, all, Lasso, 249.1953, 411.8674, 25.684, 78.2517, 0.3282, 62.6143, 1.2181, 0.0069
D6, all, Lasso, 253.5504, 843.8738, 43.8459, 60.2534, 0.7277, 59.8812, 1.1894, 0.0068
D7, all, Lasso, 240.1043, 451.3253, 48.4848, 67.7308, 0.7158, 61.6196, 1.239, 0.007
D8, all, Lasso, 289.1557, 5371.2109, 40.1214, 48.5417, 0.8265, 66.146, 1.2985, 0.0068
D9, all, Lasso, 259.5162, 22867.1991, 94.1651, 94.9211, 0.992, 61.392, 1.2892, 0.0081
D10, all, Lasso, 227.2638, 357099208.7132, 0.8535, 56.117, 0.0152, 67.0141, 1.3333, 0.0069
