TEST_SET, DATASET, REGRESSOR, VALIDATION_MSE, TEST_MSE, PREDICTED_F1, GLOBAL_BEST_F1, PERFORMANCE, OPTIMIZATION_TIME, BEST_REGRESSOR_FIT_TIME, BEST_REGRESSOR_PREDICTION_TIME, LM, K, CLUSTERING, THRESHOLD
D1, all, LinearRegression, 247.1241, 9.87297446005863e+22, 55.3459, 78.4314, 0.7057, 0.4103, 0.326, 0.0147, st5, 1, KiralyMSMApproximateClustering, 0.05
D2, all, LinearRegression, 241.8828, 6.6547508996021055e+22, 81.9401, 85.8486, 0.9545, 0.2646, 0.2393, 0.0027, st5, 1, KiralyMSMApproximateClustering, 0.05
D3, all, LinearRegression, 270.4079, 1.1380669042156172e+25, 55.9823, 59.1887, 0.9458, 0.2557, 0.3289, 0.0026, st5, 1, KiralyMSMApproximateClustering, 0.05
D4, all, LinearRegression, 243.8159, 2.1300599712848315e+24, 98.3769, 98.6011, 0.9977, 0.238, 0.2086, 0.0022, st5, 1, KiralyMSMApproximateClustering, 0.05
D5, all, LinearRegression, 252.0246, 2.744489959715826e+23, 69.3934, 78.9235, 0.8792, 0.2222, 0.2088, 0.0025, st5, 1, KiralyMSMApproximateClustering, 0.05
D6, all, LinearRegression, 269.9015, 5.4336848699430583e+23, 43.8459, 60.4225, 0.7257, 0.2473, 0.2095, 0.0023, st5, 1, KiralyMSMApproximateClustering, 0.05
D7, all, LinearRegression, 254.9566, 3.843764838138442e+22, 48.4848, 67.76, 0.7155, 0.2271, 0.2079, 0.0024, st5, 1, KiralyMSMApproximateClustering, 0.05
D8, all, LinearRegression, 279.2682, 6.014745922896272e+22, 38.0861, 49.5337, 0.7689, 0.2728, 0.2092, 0.0021, st5, 1, KiralyMSMApproximateClustering, 0.05
D9, all, LinearRegression, 228.6403, 2.2808021641943077e+25, 92.8452, 94.9241, 0.9781, 0.227, 0.2081, 0.0025, st5, 1, KiralyMSMApproximateClustering, 0.05
D10, all, LinearRegression, 261.5896, 25893028.7451, 55.3979, 56.117, 0.9872, 0.2224, 0.2068, 0.0021, st5, 1, KiralyMSMApproximateClustering, 0.05
