TEST_SET, DATASET, REGRESSOR, VALIDATION_MSE, TEST_MSE, PREDICTED_F1, GLOBAL_BEST_F1, PERFORMANCE, OPTIMIZATION_TIME, BEST_REGRESSOR_FIT_TIME, BEST_REGRESSOR_PREDICTION_TIME, LM, K, CLUSTERING, THRESHOLD
D1, all, RandomForestRegressor, 114.64122529223383, 287.58892303223723, 55.873, 78.4314, 0.7124, 1911.504421710968, 13.302583932876587, 0.15643978118896484, st5, 1, KiralyMSMApproximateClustering, 0.6271283369121952
D2, all, RandomForestRegressor, 103.38041668080517, 676.6970843518255, 74.2145, 85.8486, 0.8645, 1723.785338640213, 13.081522464752197, 0.1704413890838623, sminilm, 100, KiralyMSMApproximateClustering, 0.2
D3, all, RandomForestRegressor, 112.9794215654303, 469.2148384106557, 57.7127, 59.1887, 0.9751, 2226.3856387138367, 13.19396686553955, 0.15979743003845215, st5, 100, UniqueMappingClustering, 0.05
D4, all, RandomForestRegressor, 105.55189443259061, 2296.605299305636, 98.1761, 98.6011, 0.9957, 2442.5771787166595, 72.13691663742065, 0.7721600532531738, st5, 100, KiralyMSMApproximateClustering, 0.1283030732112443
D5, all, RandomForestRegressor, 105.0781181944295, 384.09147070373155, 76.2613, 78.9235, 0.9663, 1491.3347175121307, 12.72583270072937, 0.16417837142944336, sminilm, 1, KiralyMSMApproximateClustering, 0.6624574112699669
D6, all, RandomForestRegressor, 117.09812503074559, 377.87268746146395, 42.6462, 60.4225, 0.7058, 1878.8632876873016, 62.79300260543823, 0.5314819812774658, st5, 1, KiralyMSMApproximateClustering, 0.8
D7, all, RandomForestRegressor, 112.19971536398805, 271.9915073865162, 58.4911, 67.76, 0.8632, 1938.2647786140442, 12.621289491653442, 0.10575723648071289, sminilm, 1, KiralyMSMApproximateClustering, 0.5607159857422135
D8, all, RandomForestRegressor, 125.95646830165178, 707.7175383972171, 40.7814, 49.5337, 0.8233, 2006.4865808486938, 12.845907211303711, 0.10507512092590332, st5, 100, KiralyMSMApproximateClustering, 0.0700587711945674
D9, all, RandomForestRegressor, 83.76551583918474, 1524.9451828741942, 94.3686, 94.9241, 0.9941, 1966.6474056243896, 58.02344608306885, 0.5216927528381348, st5, 100, KiralyMSMApproximateClustering, 0.3533994676769966
D10, all, RandomForestRegressor, 115.38417538771922, 470.4634196025946, 3.573, 56.117, 0.0637, 1978.5417160987854, 19.077752351760864, 0.17860031127929688, st5, 65, KiralyMSMApproximateClustering, 0.8655360342242581
