TEST_SET, DATASET, REGRESSOR, VALIDATION_MSE, TEST_MSE, PREDICTED_F1, GLOBAL_BEST_F1, PERFORMANCE, OPTIMIZATION_TIME, BEST_REGRESSOR_FIT_TIME, BEST_REGRESSOR_PREDICTION_TIME
D1, all, Ridge, 229.0713, 238.7014, 54.6584, 77.0833, 0.7091, 7.7557, 0.0618, 0.0039
D2, all, Ridge, 211.0291, 467.7757, 38.4331, 85.8486, 0.4477, 7.6742, 0.0606, 0.0049
D3, all, Ridge, 234.9365, 53891.5878, 28.3718, 59.0871, 0.4802, 7.8158, 0.0601, 0.004
D4, all, Ridge, 220.5933, 2926.8821, 98.1753, 98.5122, 0.9966, 7.6259, 0.0544, 0.0038
D5, all, Ridge, 216.9845, 429.4701, 25.684, 78.2517, 0.3282, 7.6248, 0.0555, 0.0039
D6, all, Ridge, 235.4367, 322.1502, 43.8459, 60.2534, 0.7277, 7.6686, 0.0565, 0.0038
D7, all, Ridge, 214.8877, 427.2541, 48.4848, 67.7308, 0.7158, 7.647, 0.0565, 0.0038
D8, all, Ridge, 248.0544, 3363.571, 40.1214, 48.5417, 0.8265, 7.6304, 0.0578, 0.0038
D9, all, Ridge, 218.9417, 61305.3084, 94.3264, 94.9211, 0.9937, 7.8444, 0.0566, 0.0041
D10, all, Ridge, 227.0384, 342904665.0141, 0.8535, 56.117, 0.0152, 7.687, 0.0533, 0.0039
