TEST_SET, DATASET, REGRESSOR, VALIDATION_MSE, TEST_MSE, PREDICTED_F1, GLOBAL_BEST_F1, PERFORMANCE, OPTIMIZATION_TIME, BEST_REGRESSOR_FIT_TIME, BEST_REGRESSOR_PREDICTION_TIME
D1, all, XGBRegressor, 0.3141, 874.3386, 14.9533, 78.4314, 0.1907, 108958.672, 3255.6326, 0.5034
D2, all, XGBRegressor, 0.2018, 1249.6528, 77.2575, 85.8486, 0.8999, 98643.9037, 1771.1464, 0.2954
D3, all, XGBRegressor, 0.2678, 372.953, 45.1856, 59.1887, 0.7634, 111743.5389, 3970.153, 0.4821
D4, all, XGBRegressor, 0.0725, 2001.2603, 97.4041, 98.6011, 0.9879, 94175.4612, 1905.3577, 0.3563
D5, all, XGBRegressor, 0.1331, 396.8501, 35.2084, 78.9235, 0.4461, 96243.5389, 1951.166, 0.33
D6, all, XGBRegressor, 0.1962, 352.9638, 45.2244, 60.4225, 0.7485, 98171.183, 2049.8536, 0.3343
D7, all, XGBRegressor, 0.3925, 332.75, 57.5722, 67.76, 0.8496, 77902.0978, 548.6558, 0.1283
D8, all, XGBRegressor, 0.2793, 335.0176, 38.0983, 49.5337, 0.7691, 46705.8111, 266.1391, 0.0679
D9, all, XGBRegressor, 0.206, 2524.2461, 92.8452, 94.9241, 0.9781, 30427.662, 671.119, 0.1101
D10, all, XGBRegressor, 0.1327, 294.6406, 0.2883, 56.117, 0.0051, 17825.7751, 2.8574, 0.0344
