TEST_SET, DATASET, REGRESSOR, VALIDATION_MSE, TEST_MSE, PREDICTED_F1, GLOBAL_BEST_F1, PERFORMANCE, OPTIMIZATION_TIME, BEST_REGRESSOR_FIT_TIME, BEST_REGRESSOR_PREDICTION_TIME
D1, gridsearch, Lasso, 278.7828, 657.1109, 55.3459, 78.4314, 0.7057, 70718.5902, 1547.3801, 0.0275
D2, gridsearch, Lasso, 265.5911, 1412.9697, 81.9401, 85.8486, 0.9545, 69870.7391, 1577.5961, 0.0235
D3, gridsearch, Lasso, 285.7631, 85719.0589, 55.9823, 59.1887, 0.9458, 68014.8349, 1510.5563, 0.0235
D4, gridsearch, Lasso, 247.0875, 3303.2533, 98.3769, 98.6011, 0.9977, 84910.3308, 2604.2925, 0.0352
D5, gridsearch, Lasso, 284.3962, 321.1654, 69.3934, 78.9235, 0.8792, 116263.7625, 2446.657, 0.0392
D6, gridsearch, Lasso, 281.9275, 1066.7632, 43.8459, 60.4225, 0.7257, 114055.0352, 2661.9764, 0.0314
D7, gridsearch, Lasso, 278.2245, 497.5716, 48.4848, 67.76, 0.7155, 113473.1627, 2403.1124, 0.0475
D8, gridsearch, Lasso, 327.6354, 3953.8983, 38.0861, 49.5337, 0.7689, 114786.3965, 2651.044, 0.0699
D9, gridsearch, Lasso, 267.2667, 17771.4128, 92.8452, 94.9241, 0.9781, 111055.2662, 2541.8, 0.0435
D10, gridsearch, Lasso, 263.685, 41192489.036, 55.3994, 56.117, 0.9872, 104314.2585, 2079.0167, 0.0315
