Feature,Importance,Std,Rank
k,0.0012074562783010556,0.00041718364723253634,0
threshold,-0.2084797480731327,0.0035974209384807606,1
InputEntityProfiles,0.0,0.0,2
NumberOfAttributes,0.0,0.0,3
NumberOfDistinctValues,0.0,0.0,4
NumberOfNameValuePairs,0.0,0.0,5
AverageNVPairsPerEntity,0.0,0.0,6
AverageDistinctValuesPerEntity,0.0,0.0,7
AverageNVpairsPerAttribute,0.0,0.0,8
AverageDistinctValuesPerAttribute,0.0,0.0,9
NumberOfMissingNVpairs,0.0,0.0,10
AverageValueLength,0.0,0.0,11
AverageValueTokens,0.0,0.0,12
MaxValuesPerEntity,0.0,0.0,13
clustering_KiralyMSMApproximateClustering,2.0191038321471035,0.03487129741432758,14
clustering_UniqueMappingClustering,0.9235224066029943,0.030322758679427544,15
lm_sdistilroberta,0.47634385141236313,0.0169428627525738,16
lm_sent_glove,0.6968575834383173,0.013653658362120827,17
lm_sminilm,0.03989723907965068,0.003938414348302523,18
lm_smpnet,1.0941139668073174,0.02487635338350109,19
lm_st5,1.2465731131749649,0.021632250990341852,20
lm_word2vec,0.2647284119338632,0.008549278692121777,21
