TEST_SET, DATASET, REGRESSOR, VALIDATION_MSE, TEST_MSE, PREDICTED_F1, GLOBAL_BEST_F1, PERFORMANCE, OPTIMIZATION_TIME, BEST_REGRESSOR_FIT_TIME, BEST_REGRESSOR_PREDICTION_TIME, LM, K, CLUSTERING, THRESHOLD
D1, gridsearch, LinearRegression, 260.056, 6.882917420340123e+23, 55.3459, 78.4314, 0.7057, 0.1583, 0.1282, 0.0018, st5, 1, KiralyMSMApproximateClustering, 0.05
D2, gridsearch, LinearRegression, 243.7653, 1.106860114588657e+23, 81.9401, 85.8486, 0.9545, 0.152, 0.1283, 0.0018, st5, 1, KiralyMSMApproximateClustering, 0.05
D3, gridsearch, LinearRegression, 284.6536, 3.682825565562742e+22, 55.9823, 59.1887, 0.9458, 0.1593, 0.1265, 0.0017, st5, 1, KiralyMSMApproximateClustering, 0.05
D4, gridsearch, LinearRegression, 245.9037, 9.391117450129668e+18, 98.3769, 98.6011, 0.9977, 0.1679, 0.1298, 0.0017, st5, 1, KiralyMSMApproximateClustering, 0.05
D5, gridsearch, LinearRegression, 250.2562, 692.4535, 69.3934, 78.9235, 0.8792, 0.1439, 0.1191, 0.0019, st5, 1, KiralyMSMApproximateClustering, 0.05
D6, gridsearch, LinearRegression, 272.0595, 603.9419, 43.8459, 60.4225, 0.7257, 0.1625, 0.1639, 0.0019, st5, 1, KiralyMSMApproximateClustering, 0.05
D7, gridsearch, LinearRegression, 257.6036, 2.312420200055047e+22, 48.4848, 67.76, 0.7155, 0.1711, 0.1645, 0.002, st5, 1, KiralyMSMApproximateClustering, 0.05
D8, gridsearch, LinearRegression, 281.3939, 11745.0694, 38.0861, 49.5337, 0.7689, 0.3701, 0.182, 0.0017, st5, 1, KiralyMSMApproximateClustering, 0.05
D9, gridsearch, LinearRegression, 223.653, 171284.0214, 92.8452, 94.9241, 0.9781, 0.3234, 0.1902, 0.0019, st5, 1, KiralyMSMApproximateClustering, 0.05
D10, gridsearch, LinearRegression, 263.6473, 32339957.7667, 55.3994, 56.117, 0.9872, 0.2058, 0.2154, 0.0102, st5, 1, KiralyMSMApproximateClustering, 0.05
