TEST_SET, DATASET, REGRESSOR, VALIDATION_MSE, TEST_MSE, PREDICTED_F1, GLOBAL_BEST_F1, PERFORMANCE, OPTIMIZATION_TIME, BEST_REGRESSOR_FIT_TIME, BEST_REGRESSOR_PREDICTION_TIME
D1, gridsearch, Ridge, 232.3754, 184.8353, 54.6584, 77.0833, 0.7091, 7.4803, 0.0557, 0.0042
D2, gridsearch, Ridge, 217.4203, 413.0643, 38.4331, 85.8486, 0.4477, 7.4272, 0.0409, 0.0059
D3, gridsearch, Ridge, 245.401, 48141.926, 28.3718, 59.0871, 0.4802, 7.3575, 0.0399, 0.0066
D4, gridsearch, Ridge, 218.1357, 2477.8693, 98.1753, 98.5122, 0.9966, 7.4179, 0.045, 0.0061
D5, gridsearch, Ridge, 218.8937, 402.8527, 68.2114, 78.2517, 0.8717, 7.2609, 0.0396, 0.006
D6, gridsearch, Ridge, 235.2797, 275.8315, 43.8459, 60.2534, 0.7277, 7.2954, 0.0436, 0.0066
D7, gridsearch, Ridge, 218.5895, 400.4982, 48.4848, 67.7308, 0.7158, 7.3256, 0.0455, 0.0067
D8, gridsearch, Ridge, 250.6447, 1980.134, 39.8667, 48.5417, 0.8213, 7.8129, 0.0533, 0.0039
D9, gridsearch, Ridge, 218.609, 42403.6514, 87.4555, 94.9211, 0.9213, 7.3946, 0.041, 0.0059
D10, gridsearch, Ridge, 230.8067, 466878461.4951, 0.8535, 56.117, 0.0152, 7.1899, 0.0425, 0.0061
