TEST_SET, DATASET, REGRESSOR, VALIDATION_MSE, TEST_MSE, PREDICTED_F1, GLOBAL_BEST_F1, PERFORMANCE, OPTIMIZATION_TIME, BEST_REGRESSOR_FIT_TIME, BEST_REGRESSOR_PREDICTION_TIME
D1, gridsearch, XGBRegressor, 0.0786, 745.8629, 52.381, 78.4314, 0.6679, 90449.891, 1399.8004, 0.1899
D2, gridsearch, XGBRegressor, 0.0789, 2012.476, 77.2575, 85.8486, 0.8999, 88646.8109, 1223.0311, 0.1962
D3, gridsearch, XGBRegressor, 32.794, 518.9043, 56.8776, 59.1887, 0.961, 111010.1468, 2168.8693, 0.2585
D4, gridsearch, XGBRegressor, 0.0751, 2441.9252, 98.0147, 98.6011, 0.9941, 86220.0468, 1095.309, 0.1628
D5, gridsearch, XGBRegressor, 0.0804, 416.6796, 63.3824, 78.9235, 0.8031, 87896.5027, 1182.881, 0.1942
D6, gridsearch, XGBRegressor, 0.0976, 422.5221, 39.1939, 60.4225, 0.6487, 92746.0099, 1672.6246, 0.2278
D7, gridsearch, XGBRegressor, 0.0826, 336.2107, 62.3109, 67.76, 0.9196, 88136.6998, 1103.6479, 0.1748
D8, gridsearch, XGBRegressor, 0.0915, 255.9193, 39.9732, 49.5337, 0.807, 79364.0628, 1548.7496, 0.21
D9, gridsearch, XGBRegressor, 0.0941, 2504.458, 93.6323, 94.9241, 0.9864, 28673.4413, 369.5228, 0.0632
D10, gridsearch, XGBRegressor, 0.0649, 410.9327, 0.8535, 56.117, 0.0152, 30571.3308, 633.0021, 0.0883
