TEST_SET, DATASET, REGRESSOR, VALIDATION_MSE, TEST_MSE, PREDICTED_F1, GLOBAL_BEST_F1, PERFORMANCE, OPTIMIZATION_TIME, BEST_REGRESSOR_FIT_TIME, BEST_REGRESSOR_PREDICTION_TIME
D1, optuna, Lasso, 228.964, 788.5738, 55.3459, 78.4314, 0.7057, 216.2067, 5.3358, 0.0092
D2, optuna, Lasso, 235.7584, 1502.5885, 78.4566, 85.8486, 0.9139, 218.6678, 6.1628, 0.0143
D3, optuna, Lasso, 246.5791, 78969.0211, 55.9823, 59.0381, 0.9482, 254.2584, 5.9606, 0.0097
D4, optuna, Lasso, 224.7298, 3073.0967, 98.3769, 98.6011, 0.9977, 219.5253, 5.4505, 0.0164
D5, optuna, Lasso, 262.6537, 235.1199, 68.4926, 78.9235, 0.8678, 227.7497, 5.4992, 0.0133
D6, optuna, Lasso, 248.3911, 1125.3285, 43.8459, 60.4225, 0.7257, 209.6628, 5.4523, 0.0061
D7, optuna, Lasso, 241.5464, 516.6667, 48.4848, 67.76, 0.7155, 167.1498, 3.419, 0.0015
D8, optuna, Lasso, 297.204, 4440.9168, 40.7814, 49.5337, 0.8233, 145.2011, 3.6313, 0.0135
D9, optuna, Lasso, 254.7727, 19115.1403, 92.8452, 94.9241, 0.9781, 140.4214, 3.5183, 0.0125
D10, optuna, Lasso, 231.8125, 37292234.9051, 55.0247, 56.1133, 0.9806, 174.8386, 4.1818, 0.0127
