TEST_SET, DATASET, REGRESSOR, VALIDATION_MSE, TEST_MSE, PREDICTED_F1, GLOBAL_BEST_F1, PERFORMANCE, OPTIMIZATION_TIME, BEST_REGRESSOR_FIT_TIME, BEST_REGRESSOR_PREDICTION_TIME, LM, K, CLUSTERING, THRESHOLD
D1, optuna, RandomForestRegressor, 89.58109877445425, 403.94221786506154, 55.0, 78.4314, 0.7012, 659.8163020610809, 23.49406623840332, 0.17008376121520996, st5, 6, UniqueMappingClustering, 0.7253830296420516
D2, optuna, RandomForestRegressor, 82.31822105405875, 623.5842115443493, 78.4566, 85.8486, 0.9139, 870.7303285598755, 20.63936448097229, 0.15398430824279785, st5, 100, KiralyMSMApproximateClustering, 0.2720269468553171
D3, optuna, RandomForestRegressor, 90.52672729328074, 572.4610319801428, 56.0706, 59.1887, 0.9473, 929.8791470527649, 19.404155492782593, 0.1443939208984375, st5, 1, UniqueMappingClustering, 0.157067170004339
D4, optuna, RandomForestRegressor, 86.6728553916147, 2083.5837163918045, 98.1761, 98.6011, 0.9957, 898.3599090576172, 22.763265132904053, 0.15767407417297363, st5, 100, KiralyMSMApproximateClustering, 0.1908141229137288
D5, optuna, RandomForestRegressor, 83.10169900968612, 369.7830691925357, 71.4286, 78.9235, 0.905, 591.8546171188354, 3.767871856689453, 0.030376434326171875, sminilm, 1, UniqueMappingClustering, 0.7228107779015368
D6, optuna, RandomForestRegressor, 92.41400524757843, 374.0150585070199, 47.6932, 60.4225, 0.7893, 962.6287698745728, 23.012338399887085, 0.1713247299194336, sminilm, 1, KiralyMSMApproximateClustering, 0.678951006080313
D7, optuna, RandomForestRegressor, 89.47459057031446, 274.6653546451062, 62.1979, 67.76, 0.9179, 827.9103384017944, 16.85879921913147, 0.12845063209533691, sminilm, 1, KiralyMSMApproximateClustering, 0.6013272436743283
D8, optuna, RandomForestRegressor, 101.23174269432997, 669.5281156129031, 40.7814, 49.5337, 0.8233, 883.2928216457367, 20.7364661693573, 0.14940953254699707, st5, 100, KiralyMSMApproximateClustering, 0.2551941606292929
D9, optuna, RandomForestRegressor, 70.73428165642856, 1428.8406608724842, 94.3686, 94.9241, 0.9941, 608.7620820999146, 11.727332830429077, 0.08869004249572754, st5, 100, KiralyMSMApproximateClustering, 0.6262659777294881
D10, optuna, RandomForestRegressor, 94.1967497293878, 411.8454062080035, 4.2453, 56.117, 0.0757, 963.5088729858398, 33.805649518966675, 0.25867462158203125, st5, 1, KiralyMSMApproximateClustering, 0.8599238144090521
