TEST_SET, DATASET, REGRESSOR, VALIDATION_MSE, TEST_MSE, PREDICTED_F1, GLOBAL_BEST_F1, PERFORMANCE, OPTIMIZATION_TIME, BEST_REGRESSOR_FIT_TIME, BEST_REGRESSOR_PREDICTION_TIME
D1, optuna, XGBRegressor, 0.0209, 1069.4838, 54.6584, 78.4314, 0.6969, 88921.9027, 1144.4428, 0.135
D2, optuna, XGBRegressor, 0.0209, 971.6385, 84.9483, 85.8486, 0.9895, 89926.4789, 1302.4323, 0.142
D3, optuna, XGBRegressor, 0.0197, 1342.2388, 26.9341, 59.1887, 0.4551, 90075.743, 2267.57, 0.2298
D4, optuna, XGBRegressor, 0.1044, 1737.1654, 98.2646, 98.6011, 0.9966, 89105.3416, 1807.3036, 0.1812
D5, optuna, XGBRegressor, 0.0289, 360.9081, 44.8289, 78.9235, 0.568, 88440.8418, 1096.3564, 0.1737
D6, optuna, XGBRegressor, 0.0191, 350.7249, 51.8145, 60.4225, 0.8575, 113868.2086, 3554.7282, 0.2397
D7, optuna, XGBRegressor, 0.0828, 341.6703, 61.4897, 67.76, 0.9075, 88833.968, 1802.8115, 0.2005
D8, optuna, XGBRegressor, 0.0137, 314.6845, 40.0672, 49.5337, 0.8089, 82367.5953, 1151.6393, 0.084
D9, optuna, XGBRegressor, 0.0806, 2500.4233, 94.3485, 94.9241, 0.9939, 27531.5568, 561.8474, 0.0527
D10, optuna, XGBRegressor, 0.0195, 270.6428, 0.2883, 56.117, 0.0051, 23528.4496, 102.9053, 0.0298
