FEATURE,IMPORTANCE,DATASET,REGRESSOR,TEST_SET
k,0.0291399070176425,optuna,RIDGE,D10
threshold,0.1217225535566354,optuna,RIDGE,D10
InputEntityProfiles,0.0348956528083523,optuna,RIDGE,D10
NumberOfAttributes,0.0398099414331738,optuna,RIDGE,D10
NumberOfDistinctValues,0.0311936907545818,optuna,RIDGE,D10
NumberOfNameValuePairs,0.0315115299210224,optuna,RIDGE,D10
AverageNVPairsPerEntity,0.0300902686180228,optuna,RIDGE,D10
AverageDistinctValuesPerEntity,0.0532055543596508,optuna,RIDGE,D10
AverageNVpairsPerAttribute,0.0618123173522752,optuna,RIDGE,D10
AverageDistinctValuesPerAttribute,0.0392038010913668,optuna,RIDGE,D10
NumberOfMissingNVpairs,0.0888501811516481,optuna,RIDGE,D10
AverageValueLength,0.0599213364710289,optuna,RIDGE,D10
AverageValueTokens,0.0368399216002293,optuna,RIDGE,D10
MaxValuesPerEntity,0.0335891014263241,optuna,RIDGE,D10
clustering_KiralyMSMApproximateClustering,0.0625813078878536,optuna,RIDGE,D10
clustering_UniqueMappingClustering,0.0549646648627977,optuna,RIDGE,D10
lm_sdistilroberta,0.0117691426623905,optuna,RIDGE,D10
lm_sent_glove,0.0161042570805998,optuna,RIDGE,D10
lm_sminilm,0.0354720325908659,optuna,RIDGE,D10
lm_smpnet,0.0193921918288336,optuna,RIDGE,D10
lm_st5,0.0805739399366191,optuna,RIDGE,D10
lm_word2vec,0.0273567055880845,optuna,RIDGE,D10
k,0.0114387069403114,all,RIDGE,D1
threshold,0.1333554562660453,all,RIDGE,D1
InputEntityProfiles,0.0277257366306822,all,RIDGE,D1
NumberOfAttributes,0.0527733253481796,all,RIDGE,D1
NumberOfDistinctValues,0.0375177163353108,all,RIDGE,D1
NumberOfNameValuePairs,0.0338474420338281,all,RIDGE,D1
AverageNVPairsPerEntity,0.0282260442560367,all,RIDGE,D1
AverageDistinctValuesPerEntity,0.0608528674329669,all,RIDGE,D1
AverageNVpairsPerAttribute,0.0479709502745171,all,RIDGE,D1
AverageDistinctValuesPerAttribute,0.0324158423332992,all,RIDGE,D1
NumberOfMissingNVpairs,0.1028155204954112,all,RIDGE,D1
AverageValueLength,0.0426127961497439,all,RIDGE,D1
AverageValueTokens,0.0418613327672557,all,RIDGE,D1
MaxValuesPerEntity,0.0495771530240067,all,RIDGE,D1
clustering_KiralyMSMApproximateClustering,0.0711761379482383,all,RIDGE,D1
clustering_UniqueMappingClustering,0.0661152787637886,all,RIDGE,D1
lm_sdistilroberta,0.0130194924564129,all,RIDGE,D1
lm_sent_glove,0.0130691073737291,all,RIDGE,D1
lm_sminilm,0.0281692059296077,all,RIDGE,D1
lm_smpnet,0.0171295392489988,all,RIDGE,D1
lm_st5,0.0715051973426991,all,RIDGE,D1
lm_word2vec,0.0168251506489298,all,RIDGE,D1
k,0.0266291994394491,optuna,RIDGE,D6
threshold,0.1275524714132726,optuna,RIDGE,D6
InputEntityProfiles,0.0276834124229251,optuna,RIDGE,D6
NumberOfAttributes,0.0396264252839025,optuna,RIDGE,D6
NumberOfDistinctValues,0.0240603913561798,optuna,RIDGE,D6
NumberOfNameValuePairs,0.0259104189885787,optuna,RIDGE,D6
AverageNVPairsPerEntity,0.0546679604405039,optuna,RIDGE,D6
AverageDistinctValuesPerEntity,0.0871993275875743,optuna,RIDGE,D6
AverageNVpairsPerAttribute,0.036282023204367,optuna,RIDGE,D6
AverageDistinctValuesPerAttribute,0.0355886063054715,optuna,RIDGE,D6
NumberOfMissingNVpairs,0.0837591057258706,optuna,RIDGE,D6
AverageValueLength,0.0381053727845232,optuna,RIDGE,D6
AverageValueTokens,0.0594019162771946,optuna,RIDGE,D6
MaxValuesPerEntity,0.0322673433563575,optuna,RIDGE,D6
clustering_KiralyMSMApproximateClustering,0.056217586463491,optuna,RIDGE,D6
clustering_UniqueMappingClustering,0.0537340036269612,optuna,RIDGE,D6
lm_sdistilroberta,0.0117896181021857,optuna,RIDGE,D6
lm_sent_glove,0.0154059858141397,optuna,RIDGE,D6
lm_sminilm,0.0284549992669833,optuna,RIDGE,D6
lm_smpnet,0.016388828069122,optuna,RIDGE,D6
lm_st5,0.0987830792702324,optuna,RIDGE,D6
lm_word2vec,0.0204919248007133,optuna,RIDGE,D6
k,0.0102658859490783,all,RIDGE,D5
threshold,0.128919533845687,all,RIDGE,D5
InputEntityProfiles,0.0406085789260441,all,RIDGE,D5
NumberOfAttributes,0.0501052300519291,all,RIDGE,D5
NumberOfDistinctValues,0.037110760997521,all,RIDGE,D5
NumberOfNameValuePairs,0.0337181429065897,all,RIDGE,D5
AverageNVPairsPerEntity,0.040662843193002,all,RIDGE,D5
AverageDistinctValuesPerEntity,0.0607967395133033,all,RIDGE,D5
AverageNVpairsPerAttribute,0.047499337666334,all,RIDGE,D5
AverageDistinctValuesPerAttribute,0.0374737562858851,all,RIDGE,D5
NumberOfMissingNVpairs,0.1009982327128236,all,RIDGE,D5
AverageValueLength,0.0213302321530078,all,RIDGE,D5
AverageValueTokens,0.0444462279118664,all,RIDGE,D5
MaxValuesPerEntity,0.0586833624737838,all,RIDGE,D5
clustering_KiralyMSMApproximateClustering,0.0681345558780944,all,RIDGE,D5
clustering_UniqueMappingClustering,0.0615565879628773,all,RIDGE,D5
lm_sdistilroberta,0.0144222578430661,all,RIDGE,D5
lm_sent_glove,0.0114451142277829,all,RIDGE,D5
lm_sminilm,0.0262509937998575,all,RIDGE,D5
lm_smpnet,0.0197868292532172,all,RIDGE,D5
lm_st5,0.069769541825089,all,RIDGE,D5
lm_word2vec,0.0160152546231592,all,RIDGE,D5
k,0.002605212263984,gridsearch,RIDGE,D10
threshold,0.1404858834711748,gridsearch,RIDGE,D10
InputEntityProfiles,0.0410785039004594,gridsearch,RIDGE,D10
NumberOfAttributes,0.0315504869741804,gridsearch,RIDGE,D10
NumberOfDistinctValues,0.0254994400996742,gridsearch,RIDGE,D10
NumberOfNameValuePairs,0.0405235082353544,gridsearch,RIDGE,D10
AverageNVPairsPerEntity,0.0291529292291808,gridsearch,RIDGE,D10
