lm,clustering,k,threshold,Predicted,True
sminilm,KiralyMSMApproximateClustering,1,0.6475415027956186,64.52176687818228,53.3129
sminilm,KiralyMSMApproximateClustering,1,0.6553957785547972,64.52176687818228,51.902
sminilm,KiralyMSMApproximateClustering,1,0.6553957785547972,64.52176687818228,51.902
sminilm,KiralyMSMApproximateClustering,1,0.6553957785547972,64.52176687818228,51.902
sminilm,KiralyMSMApproximateClustering,1,0.6553957785547972,64.52176687818228,51.902
sminilm,KiralyMSMApproximateClustering,1,0.6553957785547972,64.52176687818228,51.902
sminilm,KiralyMSMApproximateClustering,1,0.6553957785547972,64.52176687818228,51.902
sminilm,KiralyMSMApproximateClustering,1,0.6475415027956186,64.52176687818228,53.3129
sminilm,KiralyMSMApproximateClustering,1,0.6553957785547972,64.52176687818228,51.902
sminilm,KiralyMSMApproximateClustering,1,0.6553957785547972,64.52176687818228,51.902
sminilm,KiralyMSMApproximateClustering,1,0.6475415027956186,64.52176687818228,53.3129
sminilm,KiralyMSMApproximateClustering,1,0.6475415027956186,64.52176687818228,53.3129
sminilm,KiralyMSMApproximateClustering,1,0.6553957785547972,64.52176687818228,51.902
sminilm,KiralyMSMApproximateClustering,1,0.6553957785547972,64.52176687818228,51.902
sminilm,KiralyMSMApproximateClustering,1,0.6475415027956186,64.52176687818228,53.3129
sminilm,KiralyMSMApproximateClustering,1,0.6553957785547972,64.52176687818228,51.902
sminilm,KiralyMSMApproximateClustering,1,0.6475415027956186,64.52176687818228,53.3129
sminilm,KiralyMSMApproximateClustering,1,0.6454791182291112,64.51645986226845,53.6166
sminilm,KiralyMSMApproximateClustering,1,0.6454791182291112,64.51645986226845,53.6166
sminilm,KiralyMSMApproximateClustering,1,0.6454791182291112,64.51645986226845,53.6166
