Feature,Importance
k,0.011505042375544077
threshold,0.13452310491091893
InputEntityProfiles,0.03326975995646376
NumberOfAttributes,0.04375380963366715
NumberOfDistinctValues,0.027993204430954686
NumberOfNameValuePairs,0.041146545355384714
AverageNVPairsPerEntity,0.020448972534291
AverageDistinctValuesPerEntity,0.05075555406044176
AverageNVpairsPerAttribute,0.06690668979790358
AverageDistinctValuesPerAttribute,0.03668356816049494
NumberOfMissingNVpairs,0.08508277391602488
AverageValueLength,0.048953937783226625
AverageValueTokens,0.03625133938290996
MaxValuesPerEntity,0.04105636416285359
clustering_KiralyMSMApproximateClustering,0.08014840638298973
clustering_UniqueMappingClustering,0.07138941445357684
lm_sdistilroberta,0.01707565482164823
lm_sent_glove,0.012867665713225587
lm_sminilm,0.032964495038179574
lm_smpnet,0.021741730528338592
lm_st5,0.06587712177079354
lm_word2vec,0.01960484483016819
