Feature,Weight
Intercept,44.27181369590321
k,-0.29006673415010853
threshold,-1.804477643852426
InputEntityProfiles,2087901940359.6467
NumberOfAttributes,-184116087987.89038
NumberOfDistinctValues,-20768653418070.477
NumberOfNameValuePairs,15449646664088.701
AverageNVPairsPerEntity,-1037839902552.6696
AverageDistinctValuesPerEntity,3932970231005.429
AverageNVpairsPerAttribute,-2720595441278.059
AverageDistinctValuesPerAttribute,3212931607599.163
NumberOfMissingNVpairs,-6485456634830.146
AverageValueLength,5166353114033.668
AverageValueTokens,-5645521942941.55
MaxValuesPerEntity,7997661296169.428
clustering_KiralyMSMApproximateClustering,12.955301332626687
clustering_UniqueMappingClustering,11.544546316806809
lm_sdistilroberta,7.550323258724014
lm_sent_glove,4.4788647020108705
lm_sminilm,9.056333787545613
lm_smpnet,8.262007766246967
lm_st5,9.959756214071076
lm_word2vec,3.392054492699367
