Feature,Weight
Intercept,50.83994171834803
k,-0.15984565898185185
threshold,-2.1172478137480466
InputEntityProfiles,-9795047454424.814
NumberOfAttributes,53756562572.011314
NumberOfDistinctValues,41016800823805.93
NumberOfNameValuePairs,-6049804730885.251
AverageNVPairsPerEntity,-2786593161708.4766
AverageDistinctValuesPerEntity,-9297492256804.176
AverageNVpairsPerAttribute,293903390033.0832
AverageDistinctValuesPerAttribute,-2679359138376.7607
NumberOfMissingNVpairs,-22229983031599.527
AverageValueLength,-4228779583684.6494
AverageValueTokens,5053975147580.154
MaxValuesPerEntity,6884887521966.266
clustering_KiralyMSMApproximateClustering,10.918930892347017
clustering_UniqueMappingClustering,9.83143274569046
lm_sdistilroberta,7.364327022965153
lm_sent_glove,5.529958478698999
lm_sminilm,11.845776260096981
lm_smpnet,9.785218886545564
lm_st5,16.130653853856973
lm_word2vec,3.6729416995566
